family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,compatible_blocks,saturated_blocks,reachable_disjoint_unions,chosen_blocks,exclusive_assignment,residual_numerator,residual_denominator,pbt_residual_numerator,pbt_residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,fcrt_chosen_blocks,fcrt_item_assignment,fcrt_residual_numerator,fcrt_residual_denominator,fcrt_fragmentation_numerator,fcrt_fragmentation_denominator,fcrt_improvement_numerator,fcrt_improvement_denominator,fcrt_block_family_count,radical_abc,ratio_grid_floor,fcrt_ratio_grid_floor
composite_base_unit_power,base=10;exponent=7,1,9999999,10000000,2^7;5^7,2:64;5:15625,3;239;4649,3,3,4,[2+5|3+239+4649],3->block;239->block;4649->block,1,1,15625,13947,1,1,1,1,[2+5|3+239+4649],token#2:1/1->unused,1,1,1,1,1,1,4,33333330,0,0
composite_base_unit_power,base=10;exponent=8,1,99999999,100000000,2^8;5^8,2:128;5:78125,3;11;73;101;137,3,3,4,,3->unused;11->5;73->5;101->5;137->2,1,1,1,1,1,1,1,1,,3->unused;11->5;73->5;101->5;137->2,1,1,1,1,1,1,4,333333330,0,0
composite_base_unit_power,base=10;exponent=9,1,999999999,1000000000,2^9;5^9,2:256;5:390625,3;37;333667,3,2,3,,3->2;37->2;333667->5,100000000,37037037,100000000,37037037,100000000,37037037,1,1,,3->2;37->2;333667->5,100000000,37037037,1,1,1,1,3,370370370,604,604
composite_base_unit_power,base=12;exponent=10,1,61917364223,61917364224,2^20;3^10,2:524288;3:19683,11;13;19141;22621,3,3,4,,11->2;13->2;19141->2;22621->3,1,1,1,1,1,1,1,1,,11->2;13->2;19141->2;22621->3,1,1,1,1,1,1,4,371504185338,0,0
composite_base_unit_power,base=12;exponent=2,1,143,144,2^4;3^2,2:8;3:3,11;13,3,3,4,,11->2;13->3,1,1,1,1,1,1,1,1,,11->2;13->3,1,1,1,1,1,1,4,858,0,0
composite_base_unit_power,base=12;exponent=3,1,1727,1728,2^6;3^3,2:32;3:9,11;157,3,3,4,,11->3;157->2,1,1,1,1,1,1,1,1,,11->3;157->2,1,1,1,1,1,1,4,10362,0,0
composite_base_unit_power,base=12;exponent=4,1,20735,20736,2^8;3^4,2:128;3:27,5;11;13;29,3,3,4,,5->unused;11->2;13->2;29->3,1,1,1,1,1,1,1,1,,5->unused;11->2;13->2;29->3,1,1,1,1,1,1,4,124410,0,0
composite_base_unit_power,base=12;exponent=5,1,248831,248832,2^10;3^5,2:512;3:81,11;22621,3,3,4,[2+3|11+22621],11->block;22621->block,1,1,81,11,1,1,1,1,[2+3|11+22621],token#2:1/1->unused,1,1,1,1,1,1,4,1492986,0,0
composite_base_unit_power,base=12;exponent=6,1,2985983,2985984,2^12;3^6,2:2048;3:243,7;11;13;19;157,3,3,4,,7->2;11->2;13->3;19->3;157->2,1,1,1,1,1,1,1,1,,7->2;11->2;13->3;19->3;157->2,1,1,1,1,1,1,4,17915898,0,0
composite_base_unit_power,base=12;exponent=7,1,35831807,35831808,2^14;3^7,2:8192;3:729,11;659;4943,3,3,4,[2+3|11+659+4943],11->block;659->block;4943->block,1,1,729,659,1,1,1,1,[2+3|11+659+4943],token#2:1/1->unused,1,1,1,1,1,1,4,214990842,0,0
composite_base_unit_power,base=12;exponent=8,1,429981695,429981696,2^16;3^8,2:32768;3:2187,5;11;13;29;89;233,3,3,4,,5->unused;11->2;13->2;29->3;89->3;233->2,1,1,1,1,1,1,1,1,,5->unused;11->2;13->2;29->3;89->3;233->2,1,1,1,1,1,1,4,2579890170,0,0
composite_base_unit_power,base=12;exponent=9,1,5159780351,5159780352,2^18;3^9,2:131072;3:6561,11;37;157;80749,3,3,4,[2+3|11+37+157+80749],11->block;37->block;157->block;80749->block,1,1,6561,5809,1,1,1,1,[2+3|11+37+157+80749],token#2:1/1->unused,1,1,1,1,1,1,4,30958682106,0,0
composite_base_unit_power,base=15;exponent=10,1,576650390624,576650390625,3^10;5^10,3:19683;5:1953125,2;7;11;31;1531;4931,3,2,3,,2->3;7->3;11->5;31->5;1531->3;4931->5,1953125,1681471,1953125,1681471,38443359375,36040649414,21434,19683,,2->3;7->3;11->5;31->5;1531->3;4931->5,1953125,1681471,21434,19683,1,1,3,540609741210,66,66
composite_base_unit_power,base=15;exponent=2,1,224,225,3^2;5^2,3:3;5:5,2;7,3,2,3,,2->3;7->5,3,2,3,2,15,14,7,5,,2->3;7->5,3,2,7,5,1,1,3,210,909,909
composite_base_unit_power,base=15;exponent=3,1,3374,3375,3^3;5^3,3:9;5:25,2;7;241,3,3,4,,2->3;7->3;241->5,1,1,1,1,1,1,1,1,,2->3;7->3;241->5,1,1,1,1,1,1,4,50610,0,0
composite_base_unit_power,base=15;exponent=4,1,50624,50625,3^4;5^4,3:27;5:125,2;7;113,3,2,3,,2->3;7->3;113->5,3375,1582,3375,1582,3375,1582,1,1,,2->3;7->3;113->5,3375,1582,1,1,1,1,3,23730,902,902
composite_base_unit_power,base=15;exponent=5,1,759374,759375,3^5;5^5,3:81;5:625,2;7;11;4931,3,3,4,,2->3;7->3;11->3;4931->5,1,1,1,1,1,1,1,1,,2->3;7->3;11->3;4931->5,1,1,1,1,1,1,4,11390610,0,0
