family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,compatible_blocks,saturated_blocks,reachable_disjoint_unions,chosen_blocks,exclusive_assignment,residual_numerator,residual_denominator,pbt_residual_numerator,pbt_residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,fcrt_chosen_blocks,fcrt_item_assignment,fcrt_residual_numerator,fcrt_residual_denominator,fcrt_fragmentation_numerator,fcrt_fragmentation_denominator,fcrt_improvement_numerator,fcrt_improvement_denominator,fcrt_block_family_count,radical_abc,ratio_grid_floor,fcrt_ratio_grid_floor
mixed_power_generalized_fermat,x=10;u=4;y=17;v=5,10000,1419857,1429857,3^2;11^2;13^1;101^1,3:3;11:11,2;5;17,4,4,5,,2->unused;5->3;17->11,1,1,1,1,1,1,1,1,,2->unused;5->3;17->11,1,1,1,1,1,1,5,7365930,0,0
mixed_power_generalized_fermat,x=11;u=2;y=7;v=5,121,16807,16928,2^5;23^2,2:16;23:23,7;11,3,2,3,,7->2;11->23,368,77,368,77,368,77,1,1,,7->2;11->23,368,77,1,1,1,1,3,3542,2296,2296
mixed_power_generalized_fermat,x=11;u=3;y=13;v=3,1331,2197,3528,2^3;3^2;7^2,2:4;3:3;7:7,11;13,8,8,9,[2+3+7|11+13],11->block;13->block,1,1,3,1,1,1,1,1,[2+7|11+13],token#5:143/28->3,1,1,1,1,1,1,9,6006,0,0
mixed_power_generalized_fermat,x=11;u=3;y=17;v=4,1331,83521,84852,2^2;3^2;2357^1,2:2;3:3,11;17,6,6,7,,11->2;17->3,1,1,1,1,1,1,1,1,,11->2;17->3,1,1,1,1,1,1,7,2644554,0,0
mixed_power_generalized_fermat,x=11;u=3;y=19;v=4,1331,130321,131652,2^2;3^3;23^1;53^1,2:2;3:9,11;19,4,4,5,,11->2;19->3,1,1,1,1,1,1,1,1,,11->2;19->3,1,1,1,1,1,1,5,1528626,0,0
mixed_power_generalized_fermat,x=11;u=4;y=3;v=5,243,14641,14884,2^2;61^2,2:2;61:61,3;11,4,2,3,,3->61;11->61,122,33,122,33,122,33,1,1,,3->61;11->61,122,33,1,1,1,1,3,4026,1890,1890
mixed_power_generalized_fermat,x=12;u=5;y=13;v=5,248832,371293,620125,5^3;11^2;41^1,5:25;11:11,2;3;13,4,3,4,,2->11;3->11;13->5,275,78,275,78,275,78,1,1,,2->11;3->11;13->5,275,78,1,1,1,1,4,175890,1251,1251
mixed_power_generalized_fermat,x=13;u=2;y=11;v=3,169,1331,1500,2^2;3^1;5^3,2:2;5:25,11;13,4,4,5,[2+5|11+13],11->block;13->block,1,1,25,13,1,1,1,1,[5|11+13],token#2:143/25->2,1,1,1,1,1,1,5,4290,0,0
mixed_power_generalized_fermat,x=13;u=2;y=14;v=5,169,537824,537993,3^2;23^2;113^1,3:3;23:23,2;7;13,3,3,4,,2->23;7->3;13->23,1,1,1,1,1,1,1,1,,2->23;7->3;13->23,1,1,1,1,1,1,4,1419054,0,0
mixed_power_generalized_fermat,x=13;u=2;y=15;v=5,169,759375,759544,2^3;19^2;263^1,2:4;19:19,3;5;13,4,4,5,,3->19;5->2;13->19,1,1,1,1,1,1,1,1,,3->19;5->2;13->19,1,1,1,1,1,1,5,1948830,0,0
mixed_power_generalized_fermat,x=13;u=2;y=3;v=3,27,169,196,2^2;7^2,2:2;7:7,3;13,4,4,5,,3->2;13->7,1,1,1,1,1,1,1,1,,3->2;13->7,1,1,1,1,1,1,5,546,0,0
mixed_power_generalized_fermat,x=13;u=4;y=11;v=5,28561,161051,189612,2^2;3^2;23^1;229^1,2:2;3:3,11;13,4,4,5,,11->2;13->3,1,1,1,1,1,1,1,1,,11->2;13->3,1,1,1,1,1,1,5,4519086,0,0
mixed_power_generalized_fermat,x=13;u=4;y=20;v=5,28561,3200000,3228561,3^2;7^2;7321^1,3:3;7:7,2;5;13,3,3,4,,2->unused;5->3;13->7,1,1,1,1,1,1,1,1,,2->unused;5->3;13->7,1,1,1,1,1,1,4,19986330,0,0
mixed_power_generalized_fermat,x=14;u=3;y=19;v=5,2744,2476099,2478843,3^5;101^2,3:81;101:101,2;7;19,3,2,3,,2->3;7->3;19->101,8181,266,8181,266,8181,266,1,1,,2->3;7->3;19->101,8181,266,1,1,1,1,3,80598,3639,3639
mixed_power_generalized_fermat,x=15;u=3;y=7;v=4,2401,3375,5776,2^4;19^2,2:8;19:19,3;5;7,4,3,4,,3->19;5->19;7->2,152,105,152,105,152,105,1,1,,3->19;5->19;7->2,152,105,1,1,1,1,4,3990,535,535
mixed_power_generalized_fermat,x=17;u=2;y=11;v=3,289,1331,1620,2^2;3^4;5^1,2:2;3:27,11;17,4,4,5,[2+3|11+17],11->block;17->block,1,1,27,17,1,1,1,1,[3|11+17],token#2:187/27->2,1,1,1,1,1,1,5,5610,0,0
mixed_power_generalized_fermat,x=17;u=2;y=12;v=4,289,20736,21025,5^2;29^2,5:5;29:29,2;3;17,3,2,3,,2->29;3->5;17->29,5,3,5,3,145,102,34,29,,2->29;3->5;17->29,5,3,34,29,1,1,3,14790,638,638
mixed_power_generalized_fermat,x=17;u=3;y=19;v=3,4913,6859,11772,2^2;3^3;109^1,2:2;3:9,17;19,5,5,6,,17->2;19->3,1,1,1,1,1,1,1,1,,17->2;19->3,1,1,1,1,1,1,7,211242,0,0
mixed_power_generalized_fermat,x=17;u=3;y=19;v=5,4913,2476099,2481012,2^2;3^2;68917^1,2:2;3:3,17;19,5,5,6,,17->2;19->3,1,1,1,1,1,1,1,1,,17->2;19->3,1,1,1,1,1,1,7,133561146,0,0
mixed_power_generalized_fermat,x=17;u=5;y=19;v=5,1419857,2476099,3895956,2^2;3^2;31^1;3491^1,2:2;3:3,17;19,5,5,6,,17->2;19->3,1,1,1,1,1,1,1,1,,17->2;19->3,1,1,1,1,1,1,7,209732298,0,0
mixed_power_generalized_fermat,x=18;u=4;y=19;v=5,104976,2476099,2581075,5^2;7^4;43^1,5:5;7:343,2;3;19,4,2,3,,2->5;3->7;19->7,1715,114,1715,114,1715,114,1,1,,2->5;3->7;19->7,1715,114,1,1,1,1,3,171570,2699,2699
mixed_power_generalized_fermat,x=19;u=2;y=11;v=3,361,1331,1692,2^2;3^2;47^1,2:2;3:3,11;19,6,6,7,,11->2;19->3,1,1,1,1,1,1,1,1,,11->2;19->3,1,1,1,1,1,1,7,58938,0,0
mixed_power_generalized_fermat,x=19;u=3;y=11;v=4,6859,14641,21500,2^2;5^3;43^1,2:2;5:25,11;19,4,4,5,[2+5|11+19],11->block;19->block,1,1,25,19,1,1,1,1,[5|11+19],token#2:209/25->2,1,1,1,1,1,1,5,89870,0,0
mixed_power_generalized_fermat,x=19;u=3;y=17;v=5,6859,1419857,1426716,2^2;3^2;39631^1,2:2;3:3,17;19,5,5,6,,17->2;19->3,1,1,1,1,1,1,1,1,,17->2;19->3,1,1,1,1,1,1,7,76804878,0,0
mixed_power_generalized_fermat,x=2;u=3;y=13;v=3,8,2197,2205,3^2;5^1;7^2,3:3;7:7,2;13,4,3,4,[3+7|2+13],2->block;13->block,1,1,3,2,1,1,1,1,[3+7|2+13],token#2:1/1->unused,1,1,1,1,1,1,4,2730,0,0
mixed_power_generalized_fermat,x=3;u=5;y=17;v=5,243,1419857,1420100,2^2;5^2;11^1;1291^1,2:2;5:5,3;17,4,4,5,,3->2;17->5,1,1,1,1,1,1,1,1,,3->2;17->5,1,1,1,1,1,1,5,7242510,0,0
mixed_power_generalized_fermat,x=5;u=3;y=19;v=3,125,6859,6984,2^3;3^2;97^1,2:4;3:3,5;19,4,4,5,,5->2;19->3,1,1,1,1,1,1,1,1,,5->2;19->3,1,1,1,1,1,1,5,55290,0,0
mixed_power_generalized_fermat,x=5;u=3;y=19;v=5,125,2476099,2476224,2^6;3^3;1433^1,2:32;3:9,5;19,3,2,3,,5->3;19->2,288,95,288,95,288,95,1,1,,5->3;19->2,288,95,1,1,1,1,3,816810,977,977
mixed_power_generalized_fermat,x=5;u=3;y=7;v=3,125,343,468,2^2;3^2;13^1,2:2;3:3,5;7,5,5,6,,5->2;7->3,1,1,1,1,1,1,1,1,,5->2;7->3,1,1,1,1,1,1,7,2730,0,0
mixed_power_generalized_fermat,x=5;u=4;y=11;v=5,625,161051,161676,2^2;3^4;499^1,2:2;3:27,5;11,4,4,5,[2+3|5+11],5->block;11->block,1,1,2,1,1,1,1,1,[3|5+11],token#2:55/27->2,1,1,1,1,1,1,5,164670,0,0
mixed_power_generalized_fermat,x=7;u=2;y=11;v=5,49,161051,161100,2^2;3^2;5^2;179^1,2:2;3:3;5:5,7;11,9,9,10,[2+3+5|7+11],7->block;11->block,1,1,2,1,1,1,1,1,[2+3|7+11],token#3:7/1->5,1,1,1,1,1,1,11,413490,0,0
mixed_power_generalized_fermat,x=7;u=3;y=17;v=3,343,4913,5256,2^3;3^2;73^1,2:4;3:3,7;17,5,5,6,,7->2;17->3,1,1,1,1,1,1,1,1,,7->2;17->3,1,1,1,1,1,1,7,52122,0,0
mixed_power_generalized_fermat,x=7;u=3;y=17;v=5,343,1419857,1420200,2^3;3^3;5^2;263^1,2:4;3:9;5:5,7;17,8,7,8,,7->5;17->3,4,1,4,1,180,119,119,45,[3+5|7+17],token#6:119/45->2,180,119,1,1,119,45,8,938910,1209,361
mixed_power_generalized_fermat,x=7;u=3;y=5;v=4,343,625,968,2^3;11^2,2:4;11:11,5;7,4,3,4,,5->2;7->11,11,7,11,7,44,35,5,4,[11|5+7],token#2:35/11->2,44,35,1,1,5,4,4,770,816,413
mixed_power_generalized_fermat,x=7;u=3;y=5;v=5,343,3125,3468,2^2;3^1;17^2,2:2;17:17,5;7,4,4,5,[2+17|5+7],5->block;7->block,1,1,2,1,1,1,1,1,[17|5+7],token#2:35/17->2,1,1,1,1,1,1,5,3570,0,0
mixed_power_generalized_fermat,x=7;u=4;y=19;v=5,2401,2476099,2478500,2^2;5^3;4957^1,2:2;5:25,7;19,4,4,5,[2+5|7+19],7->block;19->block,1,1,25,19,1,1,1,1,[5|7+19],token#2:133/25->2,1,1,1,1,1,1,5,6592810,0,0
mixed_power_generalized_fermat,x=7;u=5;y=13;v=5,16807,371293,388100,2^2;5^2;3881^1,2:2;5:5,7;13,4,4,5,,7->2;13->5,1,1,1,1,1,1,1,1,,7->2;13->5,1,1,1,1,1,1,5,3531710,0,0
mixed_power_generalized_fermat,x=9;u=5;y=11;v=5,59049,161051,220100,2^2;5^2;31^1;71^1,2:2;5:5,3;11,5,4,5,,3->2;11->5,1,1,1,1,1,1,1,1,,3->2;11->5,1,1,1,1,1,1,5,726330,0,0
two_fifteen_power,n=10,2,576650390623,576650390625,3^10;5^10,3:19683;5:1953125,2;257;2243775839,3,3,4,[3+5|2+257+2243775839],2->block;257->block;2243775839->block,1,1,19683,514,1,1,1,1,[3+5|2+257+2243775839],token#2:1/1->unused,1,1,1,1,1,1,4,17299511718690,0,0
two_fifteen_power,n=11,2,8649755859373,8649755859375,3^11;5^11,3:59049;5:9765625,2;277;997;31320517,3,3,4,,2->unused;277->3;997->3;31320517->5,1,1,1,1,1,1,1,1,,2->unused;277->3;997->3;31320517->5,1,1,1,1,1,1,4,259492675781190,0,0
two_fifteen_power,n=12,2,129746337890623,129746337890625,3^12;5^12,3:177147;5:48828125,2;129746337890623,3,3,4,[3+5|2+129746337890623],2->block;129746337890623->block,1,1,177147,2,1,1,1,1,[3+5|2+129746337890623],token#2:1/1->unused,1,1,1,1,1,1,4,3892390136718690,0,0
two_fifteen_power,n=13,2,1946195068359373,1946195068359375,3^13;5^13,3:531441;5:244140625,2;13;17;769;11451641777,3,3,4,[3+5|2+13+17+769+11451641777],2->block;13->block;17->block;769->block;11451641777->block,1,1,531441,339898,1,1,1,1,[3+5|2+13+17+769+11451641777],token#2:1/1->unused,1,1,1,1,1,1,4,58385852050781190,0,0
two_fifteen_power,n=14,2,29192926025390623,29192926025390625,3^14;5^14,3:1594323;5:1220703125,2;31;47;97;191;263;21529,3,2,3,,2->3;31->3;47->3;97->3;191->5;263->5;21529->5,1946195068359375,305685089271106,1946195068359375,305685089271106,1946195068359375,305685089271106,1,1,,2->3;31->3;47->3;97->3;191->5;263->5;21529->5,1946195068359375,305685089271106,1,1,1,1,3,4585276339066590,615,615
two_fifteen_power,n=15,2,437893890380859373,437893890380859375,3^15;5^15,3:4782969;5:6103515625,2;733;19213;31093508437,3,3,4,,2->unused;733->3;19213->3;31093508437->5,1,1,1,1,1,1,1,1,,2->unused;733->3;19213->3;31093508437->5,1,1,1,1,1,1,4,13136816711425781190,0,0
two_fifteen_power,n=16,2,6568408355712890623,6568408355712890625,3^16;5^16,3:14348907;5:30517578125,2;1801;13337;507937;538367,3,3,4,,2->unused;1801->3;13337->3;507937->5;538367->5,1,1,1,1,1,1,1,1,,2->unused;1801->3;13337->3;507937->5;538367->5,1,1,1,1,1,1,4,197052250671386718690,0,0
two_fifteen_power,n=17,2,98526125335693359373,98526125335693359375,3^17;5^17,3:43046721;5:152587890625,2;98526125335693359373,3,3,4,[3+5|2+98526125335693359373],2->block;98526125335693359373->block,1,1,43046721,2,1,1,1,1,[3+5|2+98526125335693359373],token#2:1/1->unused,1,1,1,1,1,1,4,2955783760070800781190,0,0
two_fifteen_power,n=18,2,1477891880035400390623,1477891880035400390625,3^18;5^18,3:129140163;5:762939453125,2;41;127;283827900909429689,3,3,4,[3+5|2+41+127+283827900909429689],2->block;41->block;127->block;283827900909429689->block,1,1,129140163,10414,1,1,1,1,[3+5|2+41+127+283827900909429689],token#2:1/1->unused,1,1,1,1,1,1,4,44336756401062011718690,0,0
two_fifteen_power,n=19,2,22168378200531005859373,22168378200531005859375,3^19;5^19,3:387420489;5:3814697265625,2;22168378200531005859373,3,3,4,[3+5|2+22168378200531005859373],2->block;22168378200531005859373->block,1,1,387420489,2,1,1,1,1,[3+5|2+22168378200531005859373],token#2:1/1->unused,1,1,1,1,1,1,4,665051346015930175781190,0,0
two_fifteen_power,n=2,2,223,225,3^2;5^2,3:3;5:5,2;223,3,3,4,[3+5|2+223],2->block;223->block,1,1,3,2,1,1,1,1,[3+5|2+223],token#2:1/1->unused,1,1,1,1,1,1,4,6690,0,0
two_fifteen_power,n=20,2,332525673007965087890623,332525673007965087890625,3^20;5^20,3:1162261467;5:19073486328125,2;233;20293447;70325598760673,3,3,4,,2->unused;233->3;20293447->3;70325598760673->5,1,1,1,1,1,1,1,1,,2->unused;233->3;20293447->3;70325598760673->5,1,1,1,1,1,1,4,9975770190238952636718690,0,0
two_fifteen_power,n=21,2,4987885095119476318359373,4987885095119476318359375,3^21;5^21,3:3486784401;5:95367431640625,2;17;12451;37610603;626546039773,3,3,4,[3+5|2+17+12451+37610603+626546039773],2->block;17->block;12451->block;37610603->block;626546039773->block,1,1,3486784401,1278760502,1,1,1,1,[3+5|2+17+12451+37610603+626546039773],token#2:1/1->unused,1,1,1,1,1,1,4,149636552853584289550781190,0,0
two_fifteen_power,n=22,2,74818276426792144775390623,74818276426792144775390625,3^22;5^22,3:10460353203;5:476837158203125,2;10687;14407;19249;67751;372609953,3,3,4,[3+5|2+10687+14407+19249+67751+372609953],2->block;10687->block;14407->block;19249->block;67751->block;372609953->block,1,1,10460353203,2608277998,1,1,1,1,[3+5|2+10687+14407+19249+67751+372609953],token#2:1/1->unused,1,1,1,1,1,1,4,2244548292803764343261718690,0,0
two_fifteen_power,n=23,2,1122274146401882171630859373,1122274146401882171630859375,3^23;5^23,3:31381059609;5:2384185791015625,2;19;409;827;7867837;22195308500537,3,3,4,,2->unused;19->3;409->3;827->5;7867837->3;22195308500537->5,1,1,1,1,1,1,1,1,,2->unused;19->3;409->3;827->5;7867837->3;22195308500537->5,1,1,1,1,1,1,4,33668224392056465148925781190,0,0
two_fifteen_power,n=24,2,16834112196028232574462890623,16834112196028232574462890625,3^24;5^24,3:94143178827;5:11920928955078125,2;31;5783;93902105704864829474951,3,3,4,[3+5|2+31+5783+93902105704864829474951],2->block;31->block;5783->block;93902105704864829474951->block,1,1,94143178827,358546,1,1,1,1,[3+5|2+31+5783+93902105704864829474951],token#2:1/1->unused,1,1,1,1,1,1,4,505023365880846977233886718690,0,0
two_fifteen_power,n=3,2,3373,3375,3^3;5^3,3:9;5:25,2;3373,3,3,4,[3+5|2+3373],2->block;3373->block,1,1,9,2,1,1,1,1,[3+5|2+3373],token#2:1/1->unused,1,1,1,1,1,1,4,101190,0,0
two_fifteen_power,n=4,2,50623,50625,3^4;5^4,3:27;5:125,2;23;31;71,3,3,4,,2->unused;23->5;31->3;71->5,1,1,1,1,1,1,1,1,,2->unused;23->5;31->3;71->5,1,1,1,1,1,1,4,1518690,0,0
two_fifteen_power,n=5,2,759373,759375,3^5;5^5,3:81;5:625,2;17;19;2351,3,3,4,,2->unused;17->3;19->3;2351->5,1,1,1,1,1,1,1,1,,2->unused;17->3;19->3;2351->5,1,1,1,1,1,1,4,22781190,0,0
two_fifteen_power,n=6,2,11390623,11390625,3^6;5^6,3:243;5:3125,2;521;21863,3,3,4,,2->unused;521->3;21863->5,1,1,1,1,1,1,1,1,,2->unused;521->3;21863->5,1,1,1,1,1,1,4,341718690,0,0
two_fifteen_power,n=7,2,170859373,170859375,3^7;5^7,3:729;5:15625,2;170859373,3,3,4,[3+5|2+170859373],2->block;170859373->block,1,1,729,2,1,1,1,1,[3+5|2+170859373],token#2:1/1->unused,1,1,1,1,1,1,4,5125781190,0,0
two_fifteen_power,n=8,2,2562890623,2562890625,3^8;5^8,3:2187;5:78125,2;47497;53959,3,3,4,,2->5;47497->3;53959->5,1,1,1,1,1,1,1,1,,2->5;47497->3;53959->5,1,1,1,1,1,1,4,76886718690,0,0
two_fifteen_power,n=9,2,38443359373,38443359375,3^9;5^9,3:6561;5:390625,2;2089;18402757,3,3,4,[3+5|2+2089+18402757],2->block;2089->block;18402757->block,1,1,6561,4178,1,1,1,1,[3+5|2+2089+18402757],token#2:1/1->unused,1,1,1,1,1,1,4,1153300781190,0,0
