n,is_prime_index,p,residue_mod_p2,quotient_mod_p,method,status
487,1,7793,8806090,1130,small-prime recurrence scan,not_squarefull
488,0,3,3,1,small-prime recurrence scan,not_squarefull
489,0,5,5,1,small-prime recurrence scan,not_squarefull
490,0,2,2,1,small-prime recurrence scan,not_squarefull
491,1,983,516075,525,small-prime recurrence scan,not_squarefull
492,0,5,10,2,small-prime recurrence scan,not_squarefull
493,0,103,1339,13,small-prime recurrence scan,not_squarefull
494,0,2,2,1,small-prime recurrence scan,not_squarefull
495,0,7,42,6,small-prime recurrence scan,not_squarefull
496,0,3,6,2,small-prime recurrence scan,not_squarefull
497,0,239,11711,49,small-prime recurrence scan,not_squarefull
498,0,2,2,1,small-prime recurrence scan,not_squarefull
499,1,997,48853,49,small-prime recurrence scan,not_squarefull
500,0,3,3,1,small-prime recurrence scan,not_squarefull
501,0,5,20,4,small-prime recurrence scan,not_squarefull
502,0,2,2,1,small-prime recurrence scan,not_squarefull
503,1,40241,467519938,11618,small-prime recurrence scan,not_squarefull
504,0,5,20,4,small-prime recurrence scan,not_squarefull
505,0,29,667,23,small-prime recurrence scan,not_squarefull
506,0,2,2,1,small-prime recurrence scan,not_squarefull
507,0,5,15,3,small-prime recurrence scan,not_squarefull
508,0,3,6,2,small-prime recurrence scan,not_squarefull
509,1,4073,1731025,425,small-prime recurrence scan,not_squarefull
510,0,2,2,1,small-prime recurrence scan,not_squarefull
511,0,239,35372,148,small-prime recurrence scan,not_squarefull
512,0,3,3,1,small-prime recurrence scan,not_squarefull
513,0,5,10,2,small-prime recurrence scan,not_squarefull
514,0,2,2,1,small-prime recurrence scan,not_squarefull
515,0,29,522,18,small-prime recurrence scan,not_squarefull
516,0,5,5,1,small-prime recurrence scan,not_squarefull
517,0,23,460,20,small-prime recurrence scan,not_squarefull
518,0,2,2,1,small-prime recurrence scan,not_squarefull
519,0,5,5,1,small-prime recurrence scan,not_squarefull
520,0,3,6,2,small-prime recurrence scan,not_squarefull
521,1,204233,12622416332,61804,prime-index congruence search,not_squarefull
522,0,2,2,1,small-prime recurrence scan,not_squarefull
523,1,5231,3405381,651,small-prime recurrence scan,not_squarefull
524,0,3,3,1,small-prime recurrence scan,not_squarefull
525,0,29,377,13,small-prime recurrence scan,not_squarefull
526,0,2,2,1,small-prime recurrence scan,not_squarefull
527,0,61,2867,47,small-prime recurrence scan,not_squarefull
528,0,5,15,3,small-prime recurrence scan,not_squarefull
529,0,47,1457,31,small-prime recurrence scan,not_squarefull
530,0,2,2,1,small-prime recurrence scan,not_squarefull
531,0,5,20,4,small-prime recurrence scan,not_squarefull
532,0,3,6,2,small-prime recurrence scan,not_squarefull
533,0,79,2686,34,small-prime recurrence scan,not_squarefull
534,0,2,2,1,small-prime recurrence scan,not_squarefull
535,0,29,232,8,small-prime recurrence scan,not_squarefull
536,0,3,3,1,small-prime recurrence scan,not_squarefull
537,0,5,15,3,small-prime recurrence scan,not_squarefull
538,0,2,2,1,small-prime recurrence scan,not_squarefull
539,0,23,322,14,small-prime recurrence scan,not_squarefull
540,0,7,28,4,small-prime recurrence scan,not_squarefull
541,1,7573,34116365,4505,small-prime recurrence scan,not_squarefull
542,0,2,2,1,small-prime recurrence scan,not_squarefull
543,0,5,10,2,small-prime recurrence scan,not_squarefull
544,0,3,6,2,small-prime recurrence scan,not_squarefull
545,0,29,87,3,small-prime recurrence scan,not_squarefull
546,0,2,2,1,small-prime recurrence scan,not_squarefull
547,1,1093,402224,368,small-prime recurrence scan,not_squarefull
548,0,3,3,1,small-prime recurrence scan,not_squarefull
549,0,5,5,1,small-prime recurrence scan,not_squarefull
550,0,2,2,1,small-prime recurrence scan,not_squarefull
551,0,37,222,6,small-prime recurrence scan,not_squarefull
552,0,5,10,2,small-prime recurrence scan,not_squarefull
553,0,157,18840,120,small-prime recurrence scan,not_squarefull
554,0,2,2,1,small-prime recurrence scan,not_squarefull
555,0,7,7,1,small-prime recurrence scan,not_squarefull
556,0,3,6,2,small-prime recurrence scan,not_squarefull
557,1,280729,1840178595,6555,prime-index congruence search,not_squarefull
558,0,2,2,1,small-prime recurrence scan,not_squarefull
559,0,79,4187,53,small-prime recurrence scan,not_squarefull
560,0,3,3,1,small-prime recurrence scan,not_squarefull
561,0,5,20,4,small-prime recurrence scan,not_squarefull
562,0,2,2,1,small-prime recurrence scan,not_squarefull
563,1,97353961,7385765455458114,75865074,prime-index congruence search,not_squarefull
564,0,5,20,4,small-prime recurrence scan,not_squarefull
565,0,29,638,22,small-prime recurrence scan,not_squarefull
566,0,2,2,1,small-prime recurrence scan,not_squarefull
567,0,5,15,3,small-prime recurrence scan,not_squarefull
568,0,3,6,2,small-prime recurrence scan,not_squarefull
569,1,3413,10733885,3145,small-prime recurrence scan,not_squarefull
570,0,2,2,1,small-prime recurrence scan,not_squarefull
571,1,,,,,unresolved_by_search
572,0,3,3,1,small-prime recurrence scan,not_squarefull
573,0,5,10,2,small-prime recurrence scan,not_squarefull
574,0,2,2,1,small-prime recurrence scan,not_squarefull
575,0,29,493,17,small-prime recurrence scan,not_squarefull
576,0,5,5,1,small-prime recurrence scan,not_squarefull
577,1,,,,,unresolved_by_search
578,0,2,2,1,small-prime recurrence scan,not_squarefull
579,0,5,5,1,small-prime recurrence scan,not_squarefull
580,0,3,6,2,small-prime recurrence scan,not_squarefull
581,0,167,27722,166,small-prime recurrence scan,not_squarefull
582,0,2,2,1,small-prime recurrence scan,not_squarefull
583,0,23,46,2,small-prime recurrence scan,not_squarefull
584,0,3,3,1,small-prime recurrence scan,not_squarefull
585,0,7,14,2,small-prime recurrence scan,not_squarefull
586,0,2,2,1,small-prime recurrence scan,not_squarefull
587,1,170231,24650470186,144806,small-prime recurrence scan,not_squarefull
588,0,5,15,3,small-prime recurrence scan,not_squarefull
589,0,37,851,23,small-prime recurrence scan,not_squarefull
590,0,2,2,1,small-prime recurrence scan,not_squarefull
591,0,5,20,4,small-prime recurrence scan,not_squarefull
592,0,3,6,2,small-prime recurrence scan,not_squarefull
593,1,3559,6463144,1816,small-prime recurrence scan,not_squarefull
594,0,2,2,1,small-prime recurrence scan,not_squarefull
595,0,29,203,7,small-prime recurrence scan,not_squarefull
596,0,3,3,1,small-prime recurrence scan,not_squarefull
597,0,5,15,3,small-prime recurrence scan,not_squarefull
598,0,2,2,1,small-prime recurrence scan,not_squarefull
599,1,4793,2602599,543,small-prime recurrence scan,not_squarefull
600,0,7,42,6,small-prime recurrence scan,not_squarefull
601,1,3607,6279787,1741,small-prime recurrence scan,not_squarefull
602,0,2,2,1,small-prime recurrence scan,not_squarefull
603,0,5,10,2,small-prime recurrence scan,not_squarefull
604,0,3,6,2,small-prime recurrence scan,not_squarefull
605,0,23,437,19,small-prime recurrence scan,not_squarefull
606,0,2,2,1,small-prime recurrence scan,not_squarefull
607,1,1213,15769,13,small-prime recurrence scan,not_squarefull
608,0,3,3,1,small-prime recurrence scan,not_squarefull
609,0,5,5,1,small-prime recurrence scan,not_squarefull
610,0,2,2,1,small-prime recurrence scan,not_squarefull
611,0,79,948,12,small-prime recurrence scan,not_squarefull
612,0,5,10,2,small-prime recurrence scan,not_squarefull
613,1,98081,9502675766,96886,small-prime recurrence scan,not_squarefull
614,0,2,2,1,small-prime recurrence scan,not_squarefull
615,0,7,21,3,small-prime recurrence scan,not_squarefull
616,0,3,6,2,small-prime recurrence scan,not_squarefull
617,1,23447,282911502,12066,small-prime recurrence scan,not_squarefull
618,0,2,2,1,small-prime recurrence scan,not_squarefull
619,1,1237,1166491,943,small-prime recurrence scan,not_squarefull
620,0,3,3,1,small-prime recurrence scan,not_squarefull
621,0,5,20,4,small-prime recurrence scan,not_squarefull
622,0,2,2,1,small-prime recurrence scan,not_squarefull
623,0,239,53297,223,small-prime recurrence scan,not_squarefull
624,0,5,20,4,small-prime recurrence scan,not_squarefull
625,0,29,609,21,small-prime recurrence scan,not_squarefull
626,0,2,2,1,small-prime recurrence scan,not_squarefull
627,0,5,15,3,small-prime recurrence scan,not_squarefull
628,0,3,6,2,small-prime recurrence scan,not_squarefull
629,0,103,4635,45,small-prime recurrence scan,not_squarefull
630,0,2,2,1,small-prime recurrence scan,not_squarefull
631,1,450533,196639633180,436460,prime-index congruence search,not_squarefull
632,0,3,3,1,small-prime recurrence scan,not_squarefull
633,0,5,10,2,small-prime recurrence scan,not_squarefull
634,0,2,2,1,small-prime recurrence scan,not_squarefull
635,0,29,464,16,small-prime recurrence scan,not_squarefull
636,0,5,5,1,small-prime recurrence scan,not_squarefull
637,0,79,2449,31,small-prime recurrence scan,not_squarefull
638,0,2,2,1,small-prime recurrence scan,not_squarefull
639,0,5,5,1,small-prime recurrence scan,not_squarefull
640,0,3,6,2,small-prime recurrence scan,not_squarefull
641,1,224351,12304979297,54847,prime-index congruence search,not_squarefull
642,0,2,2,1,small-prime recurrence scan,not_squarefull
643,1,5771569,19714029035266,3415714,prime-index congruence search,not_squarefull
644,0,3,3,1,small-prime recurrence scan,not_squarefull
645,0,7,28,4,small-prime recurrence scan,not_squarefull
646,0,2,2,1,small-prime recurrence scan,not_squarefull
647,1,548657,91441918905,166665,prime-index congruence search,not_squarefull
648,0,5,15,3,small-prime recurrence scan,not_squarefull
649,0,23,161,7,small-prime recurrence scan,not_squarefull
650,0,2,2,1,small-prime recurrence scan,not_squarefull
651,0,5,20,4,small-prime recurrence scan,not_squarefull
652,0,3,6,2,small-prime recurrence scan,not_squarefull
653,1,470161,186703283905,397105,prime-index congruence search,not_squarefull
654,0,2,2,1,small-prime recurrence scan,not_squarefull
655,0,29,174,6,small-prime recurrence scan,not_squarefull
656,0,3,3,1,small-prime recurrence scan,not_squarefull
657,0,5,15,3,small-prime recurrence scan,not_squarefull
658,0,2,2,1,small-prime recurrence scan,not_squarefull
659,1,1319,1435072,1088,small-prime recurrence scan,not_squarefull
660,0,7,7,1,small-prime recurrence scan,not_squarefull
661,1,3967,12500017,3151,small-prime recurrence scan,not_squarefull
662,0,2,2,1,small-prime recurrence scan,not_squarefull
663,0,5,10,2,small-prime recurrence scan,not_squarefull
664,0,3,6,2,small-prime recurrence scan,not_squarefull
665,0,29,29,1,small-prime recurrence scan,not_squarefull
666,0,2,2,1,small-prime recurrence scan,not_squarefull
667,0,47,1645,35,small-prime recurrence scan,not_squarefull
668,0,3,3,1,small-prime recurrence scan,not_squarefull
669,0,5,5,1,small-prime recurrence scan,not_squarefull
670,0,2,2,1,small-prime recurrence scan,not_squarefull
671,0,23,23,1,small-prime recurrence scan,not_squarefull
672,0,5,10,2,small-prime recurrence scan,not_squarefull
673,1,236897,39786377356,167948,prime-index congruence search,not_squarefull
674,0,2,2,1,small-prime recurrence scan,not_squarefull
675,0,7,35,5,small-prime recurrence scan,not_squarefull
676,0,3,6,2,small-prime recurrence scan,not_squarefull
677,1,5417,2643496,488,small-prime recurrence scan,not_squarefull
678,0,2,2,1,small-prime recurrence scan,not_squarefull
679,0,239,33699,141,small-prime recurrence scan,not_squarefull
680,0,3,3,1,small-prime recurrence scan,not_squarefull
681,0,5,20,4,small-prime recurrence scan,not_squarefull
682,0,2,2,1,small-prime recurrence scan,not_squarefull
683,1,1367,1361532,996,small-prime recurrence scan,not_squarefull
684,0,5,20,4,small-prime recurrence scan,not_squarefull
685,0,29,580,20,small-prime recurrence scan,not_squarefull
686,0,2,2,1,small-prime recurrence scan,not_squarefull
687,0,5,15,3,small-prime recurrence scan,not_squarefull
688,0,3,6,2,small-prime recurrence scan,not_squarefull
689,0,79,5451,69,small-prime recurrence scan,not_squarefull
690,0,2,2,1,small-prime recurrence scan,not_squarefull
691,1,1381,1394810,1010,small-prime recurrence scan,not_squarefull
692,0,3,3,1,small-prime recurrence scan,not_squarefull
693,0,5,10,2,small-prime recurrence scan,not_squarefull
694,0,2,2,1,small-prime recurrence scan,not_squarefull
695,0,29,435,15,small-prime recurrence scan,not_squarefull
696,0,5,5,1,small-prime recurrence scan,not_squarefull
697,0,103,6283,61,small-prime recurrence scan,not_squarefull
698,0,2,2,1,small-prime recurrence scan,not_squarefull
699,0,5,5,1,small-prime recurrence scan,not_squarefull
700,0,3,6,2,small-prime recurrence scan,not_squarefull
701,1,10571081,91884206039835,8692035,prime-index congruence search,not_squarefull
702,0,2,2,1,small-prime recurrence scan,not_squarefull
703,0,223,48837,219,small-prime recurrence scan,not_squarefull
704,0,3,3,1,small-prime recurrence scan,not_squarefull
705,0,7,42,6,small-prime recurrence scan,not_squarefull
706,0,2,2,1,small-prime recurrence scan,not_squarefull
707,0,239,23900,100,small-prime recurrence scan,not_squarefull
708,0,5,15,3,small-prime recurrence scan,not_squarefull
709,1,85081,4054449974,47654,small-prime recurrence scan,not_squarefull
710,0,2,2,1,small-prime recurrence scan,not_squarefull
711,0,5,20,4,small-prime recurrence scan,not_squarefull
712,0,3,6,2,small-prime recurrence scan,not_squarefull
713,0,47,235,5,small-prime recurrence scan,not_squarefull
714,0,2,2,1,small-prime recurrence scan,not_squarefull
715,0,23,276,12,small-prime recurrence scan,not_squarefull
716,0,3,3,1,small-prime recurrence scan,not_squarefull
717,0,5,15,3,small-prime recurrence scan,not_squarefull
718,0,2,2,1,small-prime recurrence scan,not_squarefull
719,1,1439,1725361,1199,small-prime recurrence scan,not_squarefull
720,0,7,21,3,small-prime recurrence scan,not_squarefull
721,0,239,47561,199,small-prime recurrence scan,not_squarefull
722,0,2,2,1,small-prime recurrence scan,not_squarefull
723,0,5,10,2,small-prime recurrence scan,not_squarefull
724,0,3,6,2,small-prime recurrence scan,not_squarefull
725,0,41,943,23,small-prime recurrence scan,not_squarefull
726,0,2,2,1,small-prime recurrence scan,not_squarefull
727,1,1453,1852575,1275,small-prime recurrence scan,not_squarefull
728,0,3,3,1,small-prime recurrence scan,not_squarefull
729,0,5,5,1,small-prime recurrence scan,not_squarefull
730,0,2,2,1,small-prime recurrence scan,not_squarefull
731,0,103,7107,69,small-prime recurrence scan,not_squarefull
732,0,5,10,2,small-prime recurrence scan,not_squarefull
733,1,80629,259060977,3213,small-prime recurrence scan,not_squarefull
734,0,2,2,1,small-prime recurrence scan,not_squarefull
735,0,29,696,24,small-prime recurrence scan,not_squarefull
736,0,3,6,2,small-prime recurrence scan,not_squarefull
737,0,23,138,6,small-prime recurrence scan,not_squarefull
738,0,2,2,1,small-prime recurrence scan,not_squarefull
739,1,72421,3935212298,54338,small-prime recurrence scan,not_squarefull
740,0,3,3,1,small-prime recurrence scan,not_squarefull
741,0,5,20,4,small-prime recurrence scan,not_squarefull
742,0,2,2,1,small-prime recurrence scan,not_squarefull
743,1,1487,422308,284,small-prime recurrence scan,not_squarefull
744,0,5,20,4,small-prime recurrence scan,not_squarefull
745,0,29,551,19,small-prime recurrence scan,not_squarefull
746,0,2,2,1,small-prime recurrence scan,not_squarefull
747,0,5,15,3,small-prime recurrence scan,not_squarefull
748,0,3,6,2,small-prime recurrence scan,not_squarefull
749,0,239,37762,158,small-prime recurrence scan,not_squarefull
750,0,2,2,1,small-prime recurrence scan,not_squarefull
751,1,,,,,unresolved_by_search
752,0,3,3,1,small-prime recurrence scan,not_squarefull
753,0,5,10,2,small-prime recurrence scan,not_squarefull
754,0,2,2,1,small-prime recurrence scan,not_squarefull
755,0,29,406,14,small-prime recurrence scan,not_squarefull
756,0,5,5,1,small-prime recurrence scan,not_squarefull
757,1,125448527,10970757701615128,87452264,prime-index congruence search,not_squarefull
758,0,2,2,1,small-prime recurrence scan,not_squarefull
759,0,5,5,1,small-prime recurrence scan,not_squarefull
760,0,3,6,2,small-prime recurrence scan,not_squarefull
761,1,,,,,unresolved_by_search
762,0,2,2,1,small-prime recurrence scan,not_squarefull
763,0,239,4302,18,small-prime recurrence scan,not_squarefull
764,0,3,3,1,small-prime recurrence scan,not_squarefull
765,0,7,7,1,small-prime recurrence scan,not_squarefull
766,0,2,2,1,small-prime recurrence scan,not_squarefull
767,0,79,3713,47,small-prime recurrence scan,not_squarefull
768,0,5,15,3,small-prime recurrence scan,not_squarefull
769,1,18457,11074200,600,small-prime recurrence scan,not_squarefull
770,0,2,2,1,small-prime recurrence scan,not_squarefull
771,0,5,20,4,small-prime recurrence scan,not_squarefull
772,0,3,6,2,small-prime recurrence scan,not_squarefull
773,1,4637,4576719,987,small-prime recurrence scan,not_squarefull
774,0,2,2,1,small-prime recurrence scan,not_squarefull
775,0,29,116,4,small-prime recurrence scan,not_squarefull
776,0,3,3,1,small-prime recurrence scan,not_squarefull
777,0,5,15,3,small-prime recurrence scan,not_squarefull
778,0,2,2,1,small-prime recurrence scan,not_squarefull
779,0,37,1258,34,small-prime recurrence scan,not_squarefull
780,0,7,35,5,small-prime recurrence scan,not_squarefull
781,0,23,391,17,small-prime recurrence scan,not_squarefull
782,0,2,2,1,small-prime recurrence scan,not_squarefull
783,0,5,10,2,small-prime recurrence scan,not_squarefull
784,0,3,6,2,small-prime recurrence scan,not_squarefull
785,0,29,812,28,small-prime recurrence scan,not_squarefull
786,0,2,2,1,small-prime recurrence scan,not_squarefull
787,1,31481,567256139,18019,small-prime recurrence scan,not_squarefull
788,0,3,3,1,small-prime recurrence scan,not_squarefull
789,0,5,5,1,small-prime recurrence scan,not_squarefull
790,0,2,2,1,small-prime recurrence scan,not_squarefull
791,0,239,51624,216,small-prime recurrence scan,not_squarefull
792,0,5,10,2,small-prime recurrence scan,not_squarefull
793,0,79,5214,66,small-prime recurrence scan,not_squarefull
794,0,2,2,1,small-prime recurrence scan,not_squarefull
795,0,7,14,2,small-prime recurrence scan,not_squarefull
796,0,3,6,2,small-prime recurrence scan,not_squarefull
797,1,30584077,17409924664096,569248,prime-index congruence search,not_squarefull
798,0,2,2,1,small-prime recurrence scan,not_squarefull
799,0,103,8755,85,small-prime recurrence scan,not_squarefull
800,0,3,3,1,small-prime recurrence scan,not_squarefull
801,0,5,20,4,small-prime recurrence scan,not_squarefull
802,0,2,2,1,small-prime recurrence scan,not_squarefull
803,0,23,253,11,small-prime recurrence scan,not_squarefull
804,0,5,20,4,small-prime recurrence scan,not_squarefull
805,0,29,522,18,small-prime recurrence scan,not_squarefull
806,0,2,2,1,small-prime recurrence scan,not_squarefull
807,0,5,15,3,small-prime recurrence scan,not_squarefull
808,0,3,6,2,small-prime recurrence scan,not_squarefull
809,1,6473,28409997,4389,small-prime recurrence scan,not_squarefull
810,0,2,2,1,small-prime recurrence scan,not_squarefull
811,1,1621,129680,80,small-prime recurrence scan,not_squarefull
812,0,3,3,1,small-prime recurrence scan,not_squarefull
813,0,5,10,2,small-prime recurrence scan,not_squarefull
814,0,2,2,1,small-prime recurrence scan,not_squarefull
815,0,29,377,13,small-prime recurrence scan,not_squarefull
816,0,5,5,1,small-prime recurrence scan,not_squarefull
817,0,37,518,14,small-prime recurrence scan,not_squarefull
818,0,2,2,1,small-prime recurrence scan,not_squarefull
819,0,5,5,1,small-prime recurrence scan,not_squarefull
820,0,3,6,2,small-prime recurrence scan,not_squarefull
821,1,18061,110659747,6127,small-prime recurrence scan,not_squarefull
822,0,2,2,1,small-prime recurrence scan,not_squarefull
823,1,8231,38381153,4663,small-prime recurrence scan,not_squarefull
824,0,3,3,1,small-prime recurrence scan,not_squarefull
825,0,7,21,3,small-prime recurrence scan,not_squarefull
826,0,2,2,1,small-prime recurrence scan,not_squarefull
827,1,,,,,unresolved_by_search
828,0,5,15,3,small-prime recurrence scan,not_squarefull
829,1,124351,12967446631,104281,small-prime recurrence scan,not_squarefull
830,0,2,2,1,small-prime recurrence scan,not_squarefull
831,0,5,20,4,small-prime recurrence scan,not_squarefull
832,0,3,6,2,small-prime recurrence scan,not_squarefull
833,0,103,9579,93,small-prime recurrence scan,not_squarefull
834,0,2,2,1,small-prime recurrence scan,not_squarefull
835,0,29,87,3,small-prime recurrence scan,not_squarefull
836,0,3,3,1,small-prime recurrence scan,not_squarefull
837,0,5,15,3,small-prime recurrence scan,not_squarefull
838,0,2,2,1,small-prime recurrence scan,not_squarefull
839,1,,,,,unresolved_by_search
840,0,11,99,9,small-prime recurrence scan,not_squarefull
841,0,45413,1794540108,39516,small-prime recurrence scan,not_squarefull
842,0,2,2,1,small-prime recurrence scan,not_squarefull
843,0,5,10,2,small-prime recurrence scan,not_squarefull
844,0,3,6,2,small-prime recurrence scan,not_squarefull
845,0,29,783,27,small-prime recurrence scan,not_squarefull
846,0,2,2,1,small-prime recurrence scan,not_squarefull
847,0,23,506,22,small-prime recurrence scan,not_squarefull
848,0,3,3,1,small-prime recurrence scan,not_squarefull
849,0,5,5,1,small-prime recurrence scan,not_squarefull
850,0,2,2,1,small-prime recurrence scan,not_squarefull
851,0,47,423,9,small-prime recurrence scan,not_squarefull
852,0,5,10,2,small-prime recurrence scan,not_squarefull
853,1,11941,62391725,5225,small-prime recurrence scan,not_squarefull
854,0,2,2,1,small-prime recurrence scan,not_squarefull
855,0,7,28,4,small-prime recurrence scan,not_squarefull
856,0,3,6,2,small-prime recurrence scan,not_squarefull
857,1,160812623,13669813336316292,85004604,prime-index congruence search,not_squarefull
858,0,2,2,1,small-prime recurrence scan,not_squarefull
859,1,343601,6299580734,18334,prime-index congruence search,not_squarefull
860,0,3,3,1,small-prime recurrence scan,not_squarefull
861,0,5,20,4,small-prime recurrence scan,not_squarefull
862,0,2,2,1,small-prime recurrence scan,not_squarefull
863,1,209110079,7307002287712991,34943329,prime-index congruence search,not_squarefull
864,0,5,20,4,small-prime recurrence scan,not_squarefull
865,0,29,493,17,small-prime recurrence scan,not_squarefull
866,0,2,2,1,small-prime recurrence scan,not_squarefull
867,0,5,15,3,small-prime recurrence scan,not_squarefull
868,0,3,6,2,small-prime recurrence scan,not_squarefull
869,0,23,368,16,small-prime recurrence scan,not_squarefull
870,0,2,2,1,small-prime recurrence scan,not_squarefull
871,0,79,3476,44,small-prime recurrence scan,not_squarefull
872,0,3,3,1,small-prime recurrence scan,not_squarefull
873,0,5,10,2,small-prime recurrence scan,not_squarefull
874,0,2,2,1,small-prime recurrence scan,not_squarefull
875,0,29,348,12,small-prime recurrence scan,not_squarefull
876,0,5,5,1,small-prime recurrence scan,not_squarefull
877,1,26309,469457796,17844,small-prime recurrence scan,not_squarefull
878,0,2,2,1,small-prime recurrence scan,not_squarefull
879,0,5,5,1,small-prime recurrence scan,not_squarefull
880,0,3,6,2,small-prime recurrence scan,not_squarefull
881,1,19381,25679825,1325,small-prime recurrence scan,not_squarefull
882,0,2,2,1,small-prime recurrence scan,not_squarefull
883,1,1018981,364716736463,357923,prime-index congruence search,not_squarefull
884,0,3,3,1,small-prime recurrence scan,not_squarefull
885,0,7,35,5,small-prime recurrence scan,not_squarefull
886,0,2,2,1,small-prime recurrence scan,not_squarefull
887,1,10808983,105088942858693,9722371,prime-index congruence search,not_squarefull
888,0,5,15,3,small-prime recurrence scan,not_squarefull
889,0,239,45888,192,small-prime recurrence scan,not_squarefull
890,0,2,2,1,small-prime recurrence scan,not_squarefull
891,0,5,20,4,small-prime recurrence scan,not_squarefull
892,0,3,6,2,small-prime recurrence scan,not_squarefull
893,0,37,407,11,small-prime recurrence scan,not_squarefull
894,0,2,2,1,small-prime recurrence scan,not_squarefull
895,0,29,58,2,small-prime recurrence scan,not_squarefull
896,0,3,3,1,small-prime recurrence scan,not_squarefull
897,0,5,15,3,small-prime recurrence scan,not_squarefull
898,0,2,2,1,small-prime recurrence scan,not_squarefull
899,0,61,732,12,small-prime recurrence scan,not_squarefull
900,0,7,14,2,small-prime recurrence scan,not_squarefull
901,0,103,618,6,small-prime recurrence scan,not_squarefull
902,0,2,2,1,small-prime recurrence scan,not_squarefull
903,0,5,10,2,small-prime recurrence scan,not_squarefull
904,0,3,6,2,small-prime recurrence scan,not_squarefull
905,0,29,754,26,small-prime recurrence scan,not_squarefull
906,0,2,2,1,small-prime recurrence scan,not_squarefull
907,1,159619303,24949253335157614,156304738,prime-index congruence search,not_squarefull
908,0,3,3,1,small-prime recurrence scan,not_squarefull
909,0,5,5,1,small-prime recurrence scan,not_squarefull
910,0,2,2,1,small-prime recurrence scan,not_squarefull
911,1,1823,2572253,1411,small-prime recurrence scan,not_squarefull
912,0,5,10,2,small-prime recurrence scan,not_squarefull
913,0,23,92,4,small-prime recurrence scan,not_squarefull
914,0,2,2,1,small-prime recurrence scan,not_squarefull
915,0,7,42,6,small-prime recurrence scan,not_squarefull
916,0,3,6,2,small-prime recurrence scan,not_squarefull
917,0,239,36089,151,small-prime recurrence scan,not_squarefull
918,0,2,2,1,small-prime recurrence scan,not_squarefull
919,1,4471853,12375388104788,2767396,prime-index congruence search,not_squarefull
920,0,3,3,1,small-prime recurrence scan,not_squarefull
921,0,5,20,4,small-prime recurrence scan,not_squarefull
922,0,2,2,1,small-prime recurrence scan,not_squarefull
923,0,79,237,3,small-prime recurrence scan,not_squarefull
924,0,5,20,4,small-prime recurrence scan,not_squarefull
925,0,29,464,16,small-prime recurrence scan,not_squarefull
926,0,2,2,1,small-prime recurrence scan,not_squarefull
927,0,5,15,3,small-prime recurrence scan,not_squarefull
928,0,3,6,2,small-prime recurrence scan,not_squarefull
929,1,7433,787898,106,small-prime recurrence scan,not_squarefull
930,0,2,2,1,small-prime recurrence scan,not_squarefull
931,0,37,1036,28,small-prime recurrence scan,not_squarefull
932,0,3,3,1,small-prime recurrence scan,not_squarefull
933,0,5,10,2,small-prime recurrence scan,not_squarefull
934,0,2,2,1,small-prime recurrence scan,not_squarefull
935,0,23,483,21,small-prime recurrence scan,not_squarefull
936,0,5,5,1,small-prime recurrence scan,not_squarefull
937,1,,,,,unresolved_by_search
938,0,2,2,1,small-prime recurrence scan,not_squarefull
939,0,5,5,1,small-prime recurrence scan,not_squarefull
940,0,3,6,2,small-prime recurrence scan,not_squarefull
941,1,5358053,27607453811348,5152516,prime-index congruence search,not_squarefull
942,0,2,2,1,small-prime recurrence scan,not_squarefull
943,0,47,2021,43,small-prime recurrence scan,not_squarefull
944,0,3,3,1,small-prime recurrence scan,not_squarefull
945,0,29,174,6,small-prime recurrence scan,not_squarefull
946,0,2,2,1,small-prime recurrence scan,not_squarefull
947,1,545473,20596515007,37759,prime-index congruence search,not_squarefull
948,0,5,15,3,small-prime recurrence scan,not_squarefull
949,0,79,1738,22,small-prime recurrence scan,not_squarefull
950,0,2,2,1,small-prime recurrence scan,not_squarefull
951,0,5,20,4,small-prime recurrence scan,not_squarefull
952,0,3,6,2,small-prime recurrence scan,not_squarefull
953,1,5717,15658863,2739,small-prime recurrence scan,not_squarefull
954,0,2,2,1,small-prime recurrence scan,not_squarefull
955,0,29,29,1,small-prime recurrence scan,not_squarefull
956,0,3,3,1,small-prime recurrence scan,not_squarefull
957,0,5,15,3,small-prime recurrence scan,not_squarefull
958,0,2,2,1,small-prime recurrence scan,not_squarefull
959,0,239,49951,209,small-prime recurrence scan,not_squarefull
960,0,7,28,4,small-prime recurrence scan,not_squarefull
961,0,61,3477,57,small-prime recurrence scan,not_squarefull
962,0,2,2,1,small-prime recurrence scan,not_squarefull
963,0,5,10,2,small-prime recurrence scan,not_squarefull
964,0,3,6,2,small-prime recurrence scan,not_squarefull
965,0,29,725,25,small-prime recurrence scan,not_squarefull
966,0,2,2,1,small-prime recurrence scan,not_squarefull
967,1,1933,711344,368,small-prime recurrence scan,not_squarefull
968,0,3,3,1,small-prime recurrence scan,not_squarefull
969,0,5,5,1,small-prime recurrence scan,not_squarefull
970,0,2,2,1,small-prime recurrence scan,not_squarefull
971,1,54377,1802651927,33151,small-prime recurrence scan,not_squarefull
972,0,5,10,2,small-prime recurrence scan,not_squarefull
973,0,239,16491,69,small-prime recurrence scan,not_squarefull
974,0,2,2,1,small-prime recurrence scan,not_squarefull
975,0,7,7,1,small-prime recurrence scan,not_squarefull
976,0,3,6,2,small-prime recurrence scan,not_squarefull
