n,is_prime_index,p,residue_mod_p2,quotient_mod_p,method,status
114,0,2,2,1,small-prime recurrence scan,not_squarefull
115,0,29,435,15,small-prime recurrence scan,not_squarefull
116,0,3,3,1,small-prime recurrence scan,not_squarefull
117,0,5,15,3,small-prime recurrence scan,not_squarefull
118,0,2,2,1,small-prime recurrence scan,not_squarefull
119,0,103,2884,28,small-prime recurrence scan,not_squarefull
120,0,7,28,4,small-prime recurrence scan,not_squarefull
121,0,23,299,13,small-prime recurrence scan,not_squarefull
122,0,2,2,1,small-prime recurrence scan,not_squarefull
123,0,5,10,2,small-prime recurrence scan,not_squarefull
124,0,3,6,2,small-prime recurrence scan,not_squarefull
125,0,29,290,10,small-prime recurrence scan,not_squarefull
126,0,2,2,1,small-prime recurrence scan,not_squarefull
127,1,206249,10730516723,52027,prime-index congruence search,not_squarefull
128,0,3,3,1,small-prime recurrence scan,not_squarefull
129,0,5,5,1,small-prime recurrence scan,not_squarefull
130,0,2,2,1,small-prime recurrence scan,not_squarefull
131,1,263,39976,152,small-prime recurrence scan,not_squarefull
132,0,5,10,2,small-prime recurrence scan,not_squarefull
133,0,37,148,4,small-prime recurrence scan,not_squarefull
134,0,2,2,1,small-prime recurrence scan,not_squarefull
135,0,7,7,1,small-prime recurrence scan,not_squarefull
136,0,3,6,2,small-prime recurrence scan,not_squarefull
137,1,821,104267,127,small-prime recurrence scan,not_squarefull
138,0,2,2,1,small-prime recurrence scan,not_squarefull
139,1,277,75067,271,small-prime recurrence scan,not_squarefull
140,0,3,3,1,small-prime recurrence scan,not_squarefull
141,0,5,20,4,small-prime recurrence scan,not_squarefull
142,0,2,2,1,small-prime recurrence scan,not_squarefull
143,0,23,161,7,small-prime recurrence scan,not_squarefull
144,0,5,20,4,small-prime recurrence scan,not_squarefull
145,0,41,861,21,small-prime recurrence scan,not_squarefull
146,0,2,2,1,small-prime recurrence scan,not_squarefull
147,0,5,15,3,small-prime recurrence scan,not_squarefull
148,0,3,6,2,small-prime recurrence scan,not_squarefull
149,1,33377,1087789807,32591,small-prime recurrence scan,not_squarefull
150,0,2,2,1,small-prime recurrence scan,not_squarefull
151,1,2719,7265168,2672,small-prime recurrence scan,not_squarefull
152,0,3,3,1,small-prime recurrence scan,not_squarefull
153,0,5,10,2,small-prime recurrence scan,not_squarefull
154,0,2,2,1,small-prime recurrence scan,not_squarefull
155,0,29,696,24,small-prime recurrence scan,not_squarefull
156,0,5,5,1,small-prime recurrence scan,not_squarefull
157,1,,,,,unresolved_by_search
158,0,2,2,1,small-prime recurrence scan,not_squarefull
159,0,5,5,1,small-prime recurrence scan,not_squarefull
160,0,3,6,2,small-prime recurrence scan,not_squarefull
161,0,47,1692,36,small-prime recurrence scan,not_squarefull
162,0,2,2,1,small-prime recurrence scan,not_squarefull
163,1,820541,53737230090,65490,prime-index congruence search,not_squarefull
164,0,3,3,1,small-prime recurrence scan,not_squarefull
165,0,7,14,2,small-prime recurrence scan,not_squarefull
166,0,2,2,1,small-prime recurrence scan,not_squarefull
167,1,2889769,7492778008416,2592864,prime-index congruence search,not_squarefull
168,0,5,15,3,small-prime recurrence scan,not_squarefull
169,0,79,395,5,small-prime recurrence scan,not_squarefull
170,0,2,2,1,small-prime recurrence scan,not_squarefull
171,0,5,20,4,small-prime recurrence scan,not_squarefull
172,0,3,6,2,small-prime recurrence scan,not_squarefull
173,1,5189,17040676,3284,small-prime recurrence scan,not_squarefull
174,0,2,2,1,small-prime recurrence scan,not_squarefull
175,0,29,406,14,small-prime recurrence scan,not_squarefull
176,0,3,3,1,small-prime recurrence scan,not_squarefull
177,0,5,15,3,small-prime recurrence scan,not_squarefull
178,0,2,2,1,small-prime recurrence scan,not_squarefull
179,1,359,85442,238,small-prime recurrence scan,not_squarefull
180,0,7,42,6,small-prime recurrence scan,not_squarefull
181,1,177743,6532943965,36755,small-prime recurrence scan,not_squarefull
182,0,2,2,1,small-prime recurrence scan,not_squarefull
183,0,5,10,2,small-prime recurrence scan,not_squarefull
184,0,3,6,2,small-prime recurrence scan,not_squarefull
185,0,29,261,9,small-prime recurrence scan,not_squarefull
186,0,2,2,1,small-prime recurrence scan,not_squarefull
187,0,23,414,18,small-prime recurrence scan,not_squarefull
188,0,3,3,1,small-prime recurrence scan,not_squarefull
189,0,5,5,1,small-prime recurrence scan,not_squarefull
190,0,2,2,1,small-prime recurrence scan,not_squarefull
191,1,383,27576,72,small-prime recurrence scan,not_squarefull
192,0,5,10,2,small-prime recurrence scan,not_squarefull
193,1,167911,23815320863,141833,small-prime recurrence scan,not_squarefull
194,0,2,2,1,small-prime recurrence scan,not_squarefull
195,0,7,21,3,small-prime recurrence scan,not_squarefull
196,0,3,6,2,small-prime recurrence scan,not_squarefull
197,1,15761,193072250,12250,small-prime recurrence scan,not_squarefull
198,0,2,2,1,small-prime recurrence scan,not_squarefull
199,1,397,104411,263,small-prime recurrence scan,not_squarefull
200,0,3,3,1,small-prime recurrence scan,not_squarefull
201,0,5,20,4,small-prime recurrence scan,not_squarefull
202,0,2,2,1,small-prime recurrence scan,not_squarefull
203,0,239,28919,121,small-prime recurrence scan,not_squarefull
204,0,5,20,4,small-prime recurrence scan,not_squarefull
205,0,29,812,28,small-prime recurrence scan,not_squarefull
206,0,2,2,1,small-prime recurrence scan,not_squarefull
207,0,5,15,3,small-prime recurrence scan,not_squarefull
