t,z,w,X,Y,K,decimal_digits_K,exponent_one_prime_p,K_mod_p2,K_over_p_mod_p,pell_verified,hall_identity_verified,pairwise_coprime_verified,K_squared_le_X_verified,conclusion
0,682,305,93844,28748141,297,3,11,55,5,1,1,1,1,v_p(K)=1; K is not squarefull
35,5103041885827398230271057377456885184360263641676993381126175096390954524716386476632943995758571609315368712674922888605722306245153678846965079445207347065752596968680308611808005615162671717148866015430926886292863774862774337146134224755663640163530870278221541646903169233390630215305869315320509709436356828185004443449568274341761663335916639648313611518585913246996316057960044444150448294591889865974441153117762731333735546375415682,2282149709747756617363311174350483886306366284728519727800569284115581606705077080911761319720275380217330754387711955786897655635870650738564194456622224081119099662237144426399264770681896890686520176144988757999951718520432751826723847694493635718064206334385538982926359562284506844162288214152860038436024037124140786076672074009451548722711853475714323025348319625169254024472263840887124583030463800878649510039526728054868118482805505,5208207297701769774996149846451431488719750818764054739391506025431142284638945424318627952500227365118674107398257800572366586142028271568606219211104418456657312582226558533783457430351252838944479762604955855017307051782416098852180409637521024401421269068103687873616765970737408781834360517480608518474906788643923067054969671820848096949846241454072707275858362612593576023040048412326416578996454465274010168800215685719973489189851530685725052154235328983996803550325269712388594372284995077730510032222301778967581486664249436320727451261719684398703961604419912298340717882462188039217431033849863396702447285194015918061471323337220429519802920049617209970696335116902222185934937416393673557484619463269755967905381618495141973909958588426750531003975000701127321675647466499720331633124973192782787059280704707974748818858377266507338349728245913233740672362991308803844,11885908772756241732248845999652291465042069284312294046894045826029726342509104919174581631751317188850053020459759737442655687756515474496608017128287961504879394894143941449475012043652449640640759304809480669958075991332520501612243153006028904794825710975738856816171560291643571295388288753851643567801669726317572037947234615656554733060897968564030320537647258780163913238541352352616222803389245669055915440094755286248467805721249909074326177844062379769519474814004422240037352624958926207645399533126024291000490658281019886154271831695745194882837662964948280001229438266544740183673980400315646879955619124474907831958914315840155796201995804907755922488045014106996149751921564097766647511455718751195561701271461436482429101854848722976924092070535718394939850717219939219829313113951101904073578870629186705490111313407567413732017797794812900815723889311333053628720424786093090589698538920985851118034675474981272532348768910263701682379059921957025495213372741384913390704794590238400018332744085022845677084375700518661155907802703427834356159049556754784404700359594371986662974517516121085956919804895886936979934768069507956191165933768383290613251230554029944724447865611779582858930898469486600754631126724593896177845635772200669030227003041635788930773389746542151342270476305967444163576656535381,2204514094677436035477096787061374399643633893204461140646507641640892354677478957905431806167702935224239283875566687877672036297906389261888914320329573932405121890469893320301058425750274181808310118666160414878517150740718513647129985094446692550645335960191705991462169108824752253012135544218460194476506149775921919570213494515641038561115988328071480176029114522702408537038739199872993663263696422100958578146873499936173756034179577,442,11,22,2,1,1,1,1,v_p(K)=1; K is not squarefull
36,17663938665049069091277635482539213554773985009231998344629324226661012528993214397026683625779658971887727466438486545719012975141989047764037861510256815664026757626056659115102601462519024941212115514752183738350723956833610703905547510847215277954229038495716233456655421332623093311369436322842032258198273610364307626097377646800395344534177514814570200966949647629600427910132045569756840643638697173243460460026106622484083402777229422125386292682,7899553521087321414292309874563978667221218426679143024225668985734139241699090086661172679947308352819251972322268923867490547152264438878081839395634774633703755914220410537176165826344734164930837157616547821901175335176167863994055571023835653386668699232895486117339862683869729716362870230678225864534262234875795668365355156536122477687990428040327113520875393156897066677615501955630895256239939708904282664665489698911165922859491123201375994225,62402945832523097812470657415063901260064150180909402658836216169979219082713522695361014633646400701735874514591900755292283369088031545326478176039577403366759404706531799507442070984337491999933445280709909525766031057131741678704633602290693393365132603348542221563849819743752638979910973224179320630646466864615841775533359147473013888828768271867687645193607374736606227633588786048404007771793232326550278004899859452059299487397990102664328267412972187965170552782580025690300565497151806679289494690277206274030546756659346381793298510928513533456784042338539813816720156125625450174193887769641234503362107256979876522709725145780815402625715454334053003348940804155758127319375343341188691522300950433879805067761417614039653763905572170397661395037618444659441123038813851023704927972619427197674326472336570564544399792674399046112900116795221261072518698441005802321388867258495706657696901844,492955410477529227124432300849725626322886295951757698764970101473313407962168224869123905102597466834756382274488630889880288004480738682492088955733545561690014255824887685220842882202903282575353962954384632511087586006334372728872497604433462101685761697129325695327846393274653216124690819146961554835837796800387116817179794320039281153286945629582931588001206480050812447478977311631204788579971893797567884682285240832722831709349473322745506833524265888281102083505212292937578167695309800719976243567170135091956890462131268565165962996207388634112908250172107436204107522440258624010262714725986783434973917328407691488527065649462242688199703251230757417229217727640954415697216878681378968401766543682263924136134127033280479907953397457058105565908282801542795096312561426294310053478368494753705699073145766447335969153753893745185110942148023054042130906900596766010103160949669356718311004204778809257545608589682755760021653959555360244786748016733113202883907020243081024389364477826043752460213445722769955422699373047807102341784182866230653793893362941390289345902695533971433676163534641632319985444982340862093031095231238134438755157348073557301069632494098763553950789935763668342887377182190395231829672612756171500312229914089918816273459271470959419906142188337164340763517991866285976225118045827426709112704931074913051356618890445,7630821503301197847431938528456940255662361523988223284879868065917557412525068619515527326336812675855498265501426187750613605261339268634064356172430944366859559294456476737724323831808218774603633902372943374967512749352119824087196524685997000076226944630149412853275142015693176310511596491467757935541654199677380894474067143417770788838764686399894326817722247775987384857177043686134955158051917178841174918731278060913124029999763110358166878441,454,11,66,6,1,1,1,1,v_p(K)=1; K is not squarefull
37,61142890092509199541119072683776465172850920371608177106601805699943807254066684286416930925222150388388249984442004709310565499516397539115470349516215405950725471438097844968975742606174622158797138414036120893603837947825258576799494926743540015102523885197820754683074723396274340969409352968532252582582463967994911762041601115849027251137113551746149634718137977467385196089175823058125793017955151389028071920892530850735112668653250830718958835997523148225682,27343931717529795029742819708794486605297494674233129822609025916030114829094046549432393582168211430190868160998774831121527694870642738895429494609925541406421568334497798074425587292249310545721644474087629037804449671569513633183180087404768948055094923308339169296221158085443637572734057239993916119204861914560032819107208531821934289997297983300614195739900827776233611090186178773683659630922856145386070825125307233856659926984209230175467812052202302982945,747690601772931926323867975150176727462528523978764643787305629465969453016599000661298806663204604737437766989801157689645333708140522628691280296962979223160173103360279873839261061863286088902535147316188683416023152948174405327455433950419183886149143068134210085483194595581237470393234384176690935917915093457589640395094903383096447448181919814603677778642568401711558234523250614226713452864528540803486711689840802921088473368645306525514848782814699836062451638446388763737730727050169069448115405238560099915851035961967127263153701259388649667858743062167146997124446107560162674770814521012229904918074973755164838584583828139671660662257745804246242460452407356089228277104672136771517698229773651240324679145874881000653046635967737535373066745109847610658079161024064829310638534466587935481996898226351204270107245028727294752295521341264136227410807002353206670226085750343817971871378839978808120006385472738743844,20444800760717812496893837976228608497335948556295649687199640085582143704018637241607519241370572060725758510572628801964661873084533099893508627122108898163188136742586297660533554261064261002680270758009654196282574879956423754548047260802982447193659419457788169325335571979877769767349306999850907946616937363776898288360748050010415235403597812868528252396608490296603881672993461538305240206109665605454748587684629163220165723393405793440216650716784793154943189116997956210976712737880824605090889748782239575658708099763556023202281789085699922229447826851852055642191733905636245442401687546154149818868729295851473508096816191528595571447588836564507616475665410522684526805455891837943826623326550650905296484248388258992049004928892829324757225630087713195685593024434729807733405013892389202566681844627636492369857808303393452520555210771872767330395836106399139423802766587597072254658643593321894912469374673867875238823580933386476530058057174633902448076690356069363170764296976606679410536996811051693788236900171971773871356872514263864967451461697214816842174613846016406505141110504851538314178188093787279501045735779491775103069748990917094407959923771330600182139078025272978625965092440897098262712774118983224848081449304686376302880396625826927771689690475826472216775842378231288941389041583246010025298066455715829717301110690816099430802216002519809828227031958885509,26413728519963974201763439399391432954671597600534732510051980062375724733756807611732114159695968967783723993278946034422164295791083736897883190991005055370713403661258269026597520805867436772600363794863604226036857993460511705177381808353209286524290318405458566023088280507190515298784840482405933115675624434173801881201971682046779772491233054354336642198235606265910404710523955561110342583756625400060127069825573327517568672858204358870590217150930000033497,467,11,110,10,1,1,1,1,v_p(K)=1; K is not squarefull
38,211643228600073634297623926338757714513177485338397747422937797258169091441201436727651268517412555354320845776945884234502192814060111596328021753638901057170983259520567524332670288791208709438460610807346129038395605133748391717700607533587823037379776884787760487333525838654184768017470538960906587423389074929303651534334859620522021520441154853831190382991420755727842676805242074572791395504915994647606660487336817284648296429347178865551156739278073122913360097525214682,94649729225458459692802778489350382506921575296390032896468353681614004560419063528604671930116957271446126333534707012758982559070024238435212660470791336696959179944184733916431804012198429578726160096133923715184560797787422015571517818007954091843460004832734433387755403113763992622559376605892455098488403470774260731874058556892571345370608919933486175812664898348619990100543836105744515593654853739586561183112387578206389883945614665814660898036139980377362949589531665,8958571242452605272193929515979261318883195636818906056036299672296792367143455959004300891953559697407812673719975035300915712910038089320458933311422215418812472850301107744003378113283239406318450093076288115195953751874873230251786818930874452772897449545931348626779410870447854765429331365118475031195611082286589025369346097217456882096139663849885466707837409391037582912972741892337934393221066236903395439237672951789004552768531195291050178415312590679029380974934578607384387487824865827983025001341692154995808247157091479584106504124112545376877434076920879491503591453523773686901727332178233392824958472007057294063769129767494279289930553054584596916824294757667712483740996617991369426225415516119700593426098998898717193719934175929144494613887407335277578307411289368982388872487710293925846595771465894131754442702721883062659319159947718572087050772716023122333789344491270464475498362435707979098462922274588021532564110139871067929844,847926342345118057728729477402613881402867759471558541078490728633385417281095836272229671129661248384282509596700876645362093416112963508494788728095301219865769674428759884797968757526083494139713814735210718585169908807186569618713578524880781784298946969553293696938431251948519835823111624997761516268161262102851158360499478292658302504993889857364860588318532620980008607475746115004293879290989145280142448174213657212904031142289493400343281864477891416917258055921921542132057746987793117136832988109648419910617624137848078832255123120763736575050983500391479235504433868057328264385486930134217831382310584353312307113318343791376560965548001153271105066937704626122919972321610544566671705785510310970865323508075672707580693067387109470423536073026897021973496659195768656179732212075558054744098067022659979170337735177968780493693455774001126430821814214447085790655664125431082744864523197365354308050058042716829181171322203012949803027251521211309418798078194560388816276343060662891352588188721137514436971566742824313701556137601420313643908362424339869898775285513255713568179968439085066698192683264330519785622156836132700329018763648916214400870930337858340930395647606845498321818584713963882957305647356048547963696181370628731110234450812733048653965578597938868370439588905366438058120038653598304641073154503299550244322296335709719437142591094983587731494462765035641836863914537120481929940332459182248573,91429874755231810016573536178343332669692673666187826886709128415529047502599020666345347999522223913066605375640621989304947295673968209613705397572005256697864768112885170511713564757802162477414983868773527744586901417779305222046662454509939552148063614228312530528083162298607819783547272831111645766904080369459177462832659356065513296830578896855074245452293766474428036379864576215445882858123709687766077330529505066968064057477981269918099711368127589098571562130892745,479,11,33,3,1,1,1,1,v_p(K)=1; K is not squarefull
39,732593047932334076903475533678983205476778533936929384232214424572549606494294711635639517584007735096019865241321989116964049178604815109526404300845614809488407226432453641158565081597694215479553032919617720434877340666010963250865314430040977757153916506841918833141641865200864660061455676604815054065968442056054335705782932966346467542096746868996569969868660058476054212771562615365367193132679541092257819286896869997552065574277541591368149585440643764365504877580798934483629259682,327625571004092149849457884567617767651641437267666845988798930902658196532020778507913952071364501765476896700085766239227511229473318235102937316612946829069965485723074838920112668384794449428698246361390480258865112337533887156847587115547137123669017255167561690009052306697162518179707670063282981356250812925488247557495024410714052394854398082055822292401507569405507256840961163894694449870856779304729738990167718361676907256411929658730796945746700758145129985984789502916041400385,107338514775757426862109152634226136660558392558808086203969408924693154884777709054129278657039698608970794577989492945509246884804359826511741098758496950823501369714348138104141564010634226985599933748958819485641871154953626348336615075868841671342212329079742393587813709576550226171479718428709815798065592972938813319003752395333922945705061544337775951425878339074870747989642860687746575062507255927798912375359662186937880184539437467045576380377682869836758481650569427817483079266849398147613292206932740918968647844983159178854846103585922521493674415610601576138567951569327263095117612649846361450461168620877120617268780528754295313175463953158648622514611427203504225884774554419416948809663775564960253880942144358236505434555416980578948410081509639817086953072711052019480046437296361178572747188819204503717690725177632093803418910072779292835537130536023543061083970667168007666545924624083356663133614864030689787049272748786210625370608135282322480692233259844,35166842194138709220269898068735731733012633377321255948214490544252618102321071378207622156248807251985510022797298135518514386647742861747142007051752980724452546318882045443678416190001004638273543975572087276341264165058284404498476608620754044654105302396579586637108238163779746173874991846657385033191781785557660516217125503960544608345929946028374317376285928257424421442828790291227682685639553756033360499854661194458407778529582055715635372302074387067952662889282063146754137666985566794995924176538553737458528030839225480793553296823096229262804029600268665996959550232118900100669785037331187630722108416528817071263439121234077357948343534947784417062404470309422963509084256043005002539632967125046752413380396775964216233476101485850742432939391369431482451390586944298021272863377966186289885999595438763160764672523053475671927334456490611327488606747695063462841619999057629981814090107374311232942213418643812217726744593620575681414784934975528519491505994385018806525461965447642293732306881291206429715599388242822218367391235809777857071496638109480918822669396020325609738373954617369918668500870100627704370461475541338972475172791507896494596203107355525840947275664483556313311866082505678500975724808650872889381258261366972762421237314086944098662480647695468048663863173588159786257194473763956854669188719232793046875866082593900588228646756881864373532045393038329446602794082663351959278240027088574566537266379450573863249093475530707637,316480196706768321222301430549320744765968326660753493988316631415341430005535315426596271596291341561480581784251099298528469245157280127315406657965305597698991921818819972980500115250203901087166910221274855227867011167716736124373815833777702391090491930955708935917189285766773533146548852293280103356498366968215473024898227041461673978185794647406518226983261145261655419917315049837838627433317561751855377931939447838942492328087897967471040620910358106205898107114905139696927840185,492,11,77,7,1,1,1,1,v_p(K)=1; K is not squarefull
40,2535836262888121570587487787522993338176159703877134730258468889585735125570369141845926012271108788375569399982279119178987938121719881935663974845331568905280127138979331654069947211246145378092726968145197511542994948964195186238695534594564858893034330635712285402276866153919288957567605600145561232385759893631907549706881680437172386136752801257577958236286821449394265544484923994509061614008245843222138001921374738982016696641617745707109340379173859227482682933211744450333805215466089820360682,1134060452725373402729170861464290078019141361571846045180584422690806490521751605605275159562813338512710161940496833066048568582464071253726600421125516655247915517464700771754281136375579852629817213119364244970810412228349751584976569438888155639894241743229728948951302932355783676064461100440644715090339968156549885012286171699206221221788577223013092390374961713527831066509157432031021893515291724446098650522716998937106286061624820624037444456860318644294016648367442493989644895249793024349105,1286093110435678882461809654861740276845941170335881207169890289210693544604482165193656483241196455756287769566947789696757688979325391286118463933497708187238454624610849914715316326535640539986365847773075847304498193589862203205895252156151706987588262448310239771103914575250617966181089853758214059618619146296970782831547711002232547914026947387791272663740260285446077960230294313185161395726328783246341406904739029642003892395927125592959506357046915661215204424313612197639738021212796163312646973504671419113851935074499902777516297138019703630692524169868666794677966693253428413485367254050244979915249662258986809927641174666697375044049714156969949975381358937830998027392777732997127265689831691871271765431496436431035839833240015587440020619872500913950588348774619973526666180633757091230616272053970013048661861751373731435105493238360133239956624441279780533348656843386227589080839984788339445217760111870718680719224086608435528822217761454138078915263348900671877717681122716698733844,1458507335067669646114766444341022506718276643469384496248752460984536132137707702992799844838498042918619108028540982142988606137899776797002366955866632975389841401430901362157949934680320503756395265002017415276642825698774387527003126630731892528267361556678144880328374518977132784135120735972288507753986785808788769683786254270474306328161414512265580227806261538360825809037507132768253892334556568227299518643731875507916964263717010202821618030040321897286138145376866465364060941301196435818381986784734982382676810548146112564628544476466869136749496898068654796612843815660506148626836933892348081793708040706325909120367482276963459269233002055859590781034639075204935339796142565560287273280797864194942663326924569144999101116903695113995810330409327290624284785572191783651607351593948030443882736896913115829152943824584785695816540304662300839346457797486398325298632643137420254867624229214541640796940875299223113223359879293716523902578360289284000236874232919221718209735352982775711504157576101606229125578719599564884212246307117222690622752257202958743941247306505972870970379932638137286240426051814017514537645926622234349762233935028568157700273170925602805369301388668344515495493113546787949229088155709479934433931349308712591093709425954482983686614659823765693994751185409419136917300692109700182994634690497879949305858939119233471539541387541100765164010739068408957076722838851371932121637254133296222393584273320940950624354982472160040827607791509760126869750114926437990701,1095481265567668518493794724209933122092100992074922203471658560301037574246399469277440037301118996578245980792344579485322789268582988996206837133183237767081014924039071274558217195258334803336058050238725324986573817952532320455116470944852019041790830834627707293783606178493132829669205619262882452390648274048984061473372885948858470811077210143273677958075906866138322715217487165627914617251562204271963616830033887240231212949178866145471235043803107186272519027147473602544203853081350802395817,505,89,7298,82,1,1,1,1,v_p(K)=1; K is not squarefull
41,8777677552807386272881205322335299698236130688842775139472048496319167807999574105675847064270157330525923040104768762114103915228050265669886863872636474223102935723223273216606852577680652560144142580454624334287187194291983189146223571974554397411643334271858354006102335358812129857924786690733648146913260184035042621301494918803980730879661894904249694071949359419126115014383807736888879277188660060840998480833503128793870413313156662036916809757867784146383399960844849211409025723795931667099695977706517682,3925496738530263138630853761107233219916674674459963501939404857453074943579678104483000841234362301273022252502140840690960295373386236051722710406995125874282681034448140745356723857106704662711619216471349054560800879235154044263896037536504006342643579368826033195775711979342208898856912823426861911418180366172630799721186827046999152674380116358342677315820474726566070298922521011443298785774788733348977107251311750204445698550597718795975612376684003312050339011581874723194956185443255230553018544544137825,15409524644211733086235295446953594580341910284084459380921565900441252321633080400658664819417621261871467093044250181007841227083161504248904581766694464816333722881098826581698308906808839066121591216067125350812419071731404413723048508633402292970570248906795531347089054853536144511221541569562048414802455529775216540360861644991601213656928119864880149005480856318796941736086958797315593019330200819973200696894728302751131074243077585759012815804049749606796150891002938147498801564450365867859713373078206902832067544975018838658248480691095816425677135628732017399100578717590963333814811517880832352215416438815455334717811055192199603674303960326601136946412197166295754841629750796246774845065961460071048995880959843954936149941954167004088783928751763528368154531899018701838015837759607182572802458234072627562449056049912856685389474947345770634919299071630988880608506681901486558672870279052728229479354983364719885867835607871261112502848038765937040839578991073727890174978977261409742708984052249374745843551844,60490038733154871713992528678883711575329221654292334864497935502073012932901189766315215153121438106829388240552200746242858244622983683201878269564642662133635707509740990808382799124099802337766881220631256924066571828200453622738152202065733819738367290039368365921375422051092042616405628319051551154029131197623973907152998921703105854555161596306895589767843252716601922581065693804564765339074507257012541737161995180104752775001889457156293369630377168454252573622153958374597425702033217515598122463484605157049465967127705147655907194192234273402419708407802021209902945020931505503669972676604289867665138904803534883408081102857480249929302445021419458400938926894172605912450409727165462871798698862332119811967368251443053021672952215267845022659158839360100372193131591029327648213620832505899344336377398920963178099477080295501566960640704971181110374694555223687615992737563820317747706132269026116556976071110345588628147368773511154294928035802015116479534617417464694121753431880503283267242367623476802309595382027746457518708904771421369328659492343811070907509341961653605085266020780089637933488443483016630668591683578219226863168775967208381111331265054134253325609040967475112334402139886433375713251184875501754113288219985980867701690163349293606051377224248219617762868029553026865782432460119483795878875059222737259156098683066047935299657243428417883363714243634041269375069376818746688687782039301359554598850696337111166896137734919050045336386721931651967618776042360985078640086229816717628649197909676985825765,3791956702812790869884680699248849469638008457580078860251924950409880493055816013651965931764707966787198753325260105233292891378517714769391125192978956864380468232432454029574160313558041905982269594756397712412064867934136737711168583093007499681829920405442808930636208875006840098623507850396935999466528399503138412402245804923319675740013938598635867839082123269062481686213804942335995847745501146283311343720073351638952018551283677999948061815398882751237628783084974859328699112679842480187068662369215641,517,7,14,2,1,1,1,1,v_p(K)=1; K is not squarefull
42,30383516612901250852510914650131567780504107231858483015422461279215401293081238728042859120872718686110138892697588020781970175724756778019512807537652930070642612616666070426452523353360807657407038455040102357519045948045233011150063129190454906418043621409095426956365801536799503399606615926290709612309410725150921426710577900774480460411356230786994881295912426830477980863549807623793454579205930986985907844064931574356152179470532530603480022106150433528006731298005880981230819943917544927761505387507514956126143730682,13587921708388272127669721419038802600340266815200898432424508297542303229557179315801537315559521053761707969897406920712870943607937175343700115599198964256591977777607005749946485790437789593383268886125797899310719478449301341224044569428920758983314850985509588539601064141243135180100584349356900815769885350100457014529817930833919782102562749447129055647580148632219574170091501495135538228994953005071697598267574658351351314733246372484826420892098286593110690178171668600211923274969266087386825954704589741581326526545,184631616353289259808500265493264993144164554431014464448382484658562308820508050883064427060566444001212573057142393544829084572173698668359895610899038792160572761395784804836330928158258341119260797648544198631054670008937732534281809556274177213209116336677392291646017101020548415214232350153431298344404007302353904924835312025083944947400752290963690810576555528277886688791010371292957850693856335046833106327139668107201591676769959659538952801921256589895984802441261150538256777351476895219000748085051113247883409055222301227056429161451542919908418392675097544596991326732181991368153351224446387421051432136720384394795087923085892034396181625557842719080799767412898136889431102797395475476016961164905150695605153877835458056600391742930431538423747435804718657442599067292350059748824723671711768881708885989520432151925487939946674519433105202247191716609828786901871626948699290409486466871928712756810427951931946305084965790984392072710873052233869842365484470409316750762150699295498539473270024327915521117506199212491898102225962113844,2508759947901674241071764032875353414119142045722653551190596909578847120034156962653121985040084469003244191030470764356997400638245300771039612178674920063947327405978979879172853161014247475286712183514935411148511408582056919107323927146601228365904623914644286439808327414323011421016362009331756036673658868060778940686941079735386669053787175316734282109857836328772169719884301705048141078523230196384646303644094102696076481507690189035176233706761250998744186483392179842798968672884039698517603266872777537647928505444640843716737947545853039040055420522434021427049567635311239306628127291524767282030038360524314160083005074750638429214764597142069469739653875096503251660207325753539674924097767974987972182702497140530146649519633882247018299812994336740938986273645350069082019288108443082818122774754788343027738449268582552074734942422645264632195816445943706970307452618738139819847821295727363756188221626203135209045652512071935755430399379744216399398695022575545119760287143914816670206829589159433644264446581653998770449339633853192033318184418387788166762790514160344683575455924274347152968602235497715141942220193310330658708557943735564330345890108521342204711132645823463006399855144710042967902605381841321345310251844242932078000836759640311056887177829066852077359933464187011928298494411302380585657915139350711114733382806594966071963558639033928866342064530059404488337774004421014769347871422186289649502956353393800931998054848344347178973590300392237652059287257348015019726375057653619365598162637753455550301878239214300611842838134301319359940829,13125679176773340368284715128856837281177774324162864662662503272621053358611095130514515140217014472399580001645358024977811115913094928104429532856266065790517608650399742424227490088651868907999840612577324218448227849555540660816827271810276519572594844448729224445150026263897385468630058080157586552517665433265198056338969653134575558897705891699981788719834168390766487733053516893478772378216962186377912188636050440121857741531270053220703369549856987284098907920738540583891714215772379408792970327403246461046494091657,530,11,88,8,1,1,1,1,v_p(K)=1; K is not squarefull
43,105171108896702450823362093090373721885182259887605338971518404631111578922566176097839969206581561225297650628923232756990977670653236619975362685895296098087263145779692409664728953478093525726313000267624780454299241570914651554731437506748672736893306078782266395066492076415303816120293459697900352231563724613836901284076851007531807885190949519571843390224205858875149467446271630459607341454345400750507257136362478159411032775853826252168574128282030139093486510644630197117807082369578289205704843658724814980828184948997079235999682,47033949752411917554007264321268208834480457297293286389435794374737279569369749606295007017216945737631597574384040839197694030312477026427414313641163884221634280194374146534053748817861844860769824528562084810877180087358034580825979273848457571577099993713822825759291399204993992182132043913170519149413975271662006358865824572262514874636532091447343395709446147619232606238214620795138563580265899251170444355561509856907727459317482878311132640288814581383777152569624187278602022502084334476559517420338071180138855692138694897275265,2212192429312409080578458508730321965990889221386232564707951655002472725717777553618316036845431270023061259662495067453195486343162418396776759479570328058436751425750587406266577765937808862211551259887259510879611264606252094299411558877117612662798871338592246646482685751668265160358735473531014451398270632784058787986391604058957749695670161873224565711597674089528246763086178432164690299279813472141747101179749235839574251145692109542595237389425339530311747135001001115025408076256797034899763247349603066368744758157772121026119581773699675287327815863361026865397072853038429569792540546209771037563846287490245543744041894931036069732806158665392594427626381123810613155824449573789608302970356139024903153012513385372695440815821815607096660303606661691806797232818988723836976193612223988302883462360319086566178680776926344636806110142107551397635085669782146200423732102923683681129542016065046016422092936929291321306789210280941777366699951783344201860509897788436302350861185096090743624143569609700313391572062414601940969447961732398664940468895107216264019844,104048147562945901500471492120071708903161027843547572836499732081079413866541786913945557921853241217004884983280722474582695685893296981595332850157451853561658592661954381861182762473736870538430216360131103674461227483638303113076967283116529000858705485947816112569812091240480619229763936284484003770532461391122042108577033232704218448201636161561129614857818113776567369523563409929529447980375273394402505906151610410878008514227835202774701302124990300808039638618080518334064270387066345819843752503182780892841900237147958406129878352438851829896200692226576835460267669380375527610641753153311657174618446163503048672967414633793871509776108087293690679114698690662332532988822625759957141241639026274273949161951542860388100354576507969249202795870869435825189003143883904877202983774553585294052028680037328056304820151767564259990886801346256425334656915060947519901079739450105730312796950944079648621975600014796223646505350239472836016991480705735196315652441412382438045911738688395602239207791881745365174911685170809176024504157719406314644293109173824225548488375396967049483152106310176794321596093030670269814339216061474677653886940935179458281882618573884225428942899151500197559462141707293273775465488486835206828755537762971232754976882827824522482531540965308602377576302688677231589694607488238761661291802969006321543701074207993353241771067414739934168871488858876144860434712078767022072594328438292893177200341546044382211226906105507930871597603313413103637161841776905398625300528695838648874078870864257529546449440623798862632584036894858327609723757373749419486477313833132288306063893,45433919043375458755692424215041447854398736271445506435695950800640202094548588074266866697243234449328585071694836551020102353722198219829356680306767914373697678976827120975162907902536403113767216115613905156257272358635129471643981002915426622337908226033939082668724577011411248563966774589492952164035529033177541354721199635253741006402490192455036344576856931034064569936789344358550371508277213124219135082908590564865566159168852940936824023417837020088386172598480245154892659583657820936864492460569120071717775897966738229951865,542,11,11,1,1,1,1,1,v_p(K)=1; K is not squarefull
44,364044830211174822560802003646561628673805082012592979366961643907877183973609512555074497281549664041504908484880764471663161644123034350255433751180469673330613017677396629448891688752365042352852134862203820433645217561782995195506171827675227025172865718215002655509604459364015543540109113121771056056027721893351658762304683100976034104604390735900689385386500395197655470234470527407611875437497042362829719647086374239073728998570239478733160302050143118629812913579141952805882564457968379105781296049285470284440708825705545567632631978335324682,162805797441911204689487746984438361731613194880787478848052698206657017015526992699597188473034661625563642783315574668855248788320386211216367725314510652117269857596202844684328308169604893340002051899294253882212494742860022335538005675254717936850769452836079139705662608205043019150792459213323524537247937196251493331452472403725862574639902487253861811481830104030044664834609133690315370676014037385268068564130250604671049358969424059965968989793478695756425094744716720767087504368186031300033720210783976861370104620994591984423273391662143985,26505727680696620960689893169186005459853577211452165768710750764053839997638715059826072062245635898543900056563972440467049549082051114783567028659044074218096998924523640929541791049916079278716328648462124138318401937473055056190821899959983960596645794427438859464755170817945601332660735703616931865376621755259574844691216733111416424468763158535294232719358713268864917720154020097888567645802479015348920451432602019154242894537107715882947987842140599790269074221096478031931867230322110181753652618430171487642255624352227003815613961525034477666523706918503965298627163213570965870594704203345291452067063662708069923489397380419316873693445626061296831967359143976466958061821128195188357520548347508845661253163518476169794986267474385303362082266079250286359756516211550157676411478007034771650195586295647425919788010105075239513819397409636245247624102567725951495418756985958374057027568372186669883076338759789548722818041946938234424046422262620740018175460568905299223671695679050672144973034199578215105053726060053849552211833423531155907637956709348190754042405461902319999300874069844,4315286131833952941260169515470866851655858548023214829539065086125714303005400558322237028447515424606815197746775449376201095477688033189150783564732802718480014736217644447001506835882572281416933872370812248837948495425603160992405151551563367257133404587791879255898141074309208558108295716219438039235938062133158416491750402020188160874370575486495117118768713772049159089870194828931887713393166322631144119792813232193463630839545747945159599716619149082309644306266368360034901829180824341097919044442950725728236368121612422383052520392143641323103458152688313998445094941320449941094770543102054382436578740327946255884712488878571096691415115335554245191585094683321818826524479271961726775492917091477965843882780878008061330047178076017380105906761777714866172142074279274553614944953445196309249724887330310912899215927859665564921418596651908832785884233599093256141281322859795528387082439396596645959519860789942081762157779033987102685662219499737562301946801540164547464299948927440743972588436035689682549835279697960886178676153764608353010779819501028212534575861800086564298014865102118609246247078119526213414163928949907423767951834846983329948448841196320368846332148904759164444445352368312614831291262815991649861770218734007387214771748245483774906513310976119320669873924936827826548582278638246918603111444255035554004817151536389666968636389199675398066925027751798860951538809636223208607074973965848951758691071309281454850105445210832497102726222988133296086402179987227890054387763892562263332252960246415237026876315166303065776757011060015571089898459197919434833193253267443886117416587107954078987311411634225096585922957,157267366651227523346266465575314623587083795429440167086527430168202943476599309423792182825629454865930120465468490251758485830261150839310347380509962898878824823636635343921921209541021698296432122260472050427334733986690253924458666229555698074874677990268881147180149126445254714809327136868605096216203975857927916585315623099621646733189096797909097814486968170725387163141291267840088330188998722300742438887541313671279850927382343454812725250485661827248079178666189323612141267845842339773697519893291323162878386212704795685217297014640860265,555,11,55,5,1,1,1,1,v_p(K)=1; K is not squarefull
