t,z,w,X,Y,K,decimal_digits_K,exponent_one_prime_p,K_mod_p2,K_over_p_mod_p,pell_verified,hall_identity_verified,pairwise_coprime_verified,K_squared_le_X_verified,conclusion
0,682,305,93844,28748141,297,3,11,55,5,1,1,1,1,v_p(K)=1; K is not squarefull
13,6984639618908845580038977509912075779404245553423981911743262526189623006871954940663612208287270971985080628575572415693328643458783736032217469513968993782617289682,3123625797243680839645017284706194488761626965280446469113611633340301868447146218996281902372379619586251610411534630832438545733441757819183591660830071915645813665,9757038121206220722958972977648425969219551125488622479743105128348536764159279086920954321908170661714838354113271978019720291300425362746090389659630069651151614523212681209376469206446614849096382708524475200608923805622537293935641915883968546815957539751911988396972662692521418932256092445316685699420942013459304779041479844,30477335980089767048934611959113622694131060053262558912126003079196948597973614156043359905286682717873965100802642893535726841649474999837572352653983492391943674912713021377802202150982900980144986148412133062674307690942926118932522787313029193708506371805539240554968303389776589747541219822503466495717736886764699078983676597305437996652327578616331960502050568580848376040153678045013277051768159349619369183014925186904211877219227930667839554756688184964696958352460438475049995154171973,3017364315368621290576838284282016736702634079079160185873089411313917138968684534366680473980101059897554831544647283579517973974194573965917946830034605314090669145,166,7,14,2,1,1,1,1,v_p(K)=1; K is not squarefull
14,24177000421754042708302123124459371680537335694687154778412682729254765034755651287768554432832886779239801160339785777615382590201010224973814562986320517398059066460618744934682,10812283287016624954239529262630967149273900504259046663713914106897118137126183030751566489364275055489050515467432271812154804241228163105349262579376836176729703255052692682385,116905469878699031798742680471287945955483618978322839415443654595206705557407156928790247719722314555725822468713039606797024624301194596159906353045817506903741659505690301530283001535075511740617992444963269830495430700835593517186125097642150088728308324281892229103667621188005741845363391279619283093479749680137089035714371609102478724879668983209844,1264015058130283006907711069654358095410462577758579333497025938032981064146999671849272726886369866426815752971457172949597135746267663210898970351392680463435958521821327905535207896716368911886189007810537796148666402940130547202277001646795648877273961276503728171617350464016490945866797452168336215095352178402950759030045893751736212018207438609422368788250231590658443274420765188354931421417495839205433697133714571346948011209301034769205955250847161359198481601094301208825920932853771984026235708854159823484595681493631037,10444464182197746449986517189766448565992129020104850864274278939038058495014441356316015514983807088631594101266787455929845278966836417188687891210090463515961516710987297811785,179,11,66,6,1,1,1,1,v_p(K)=1; K is not squarefull
15,83687545998946069418847810102298610922914978293597047348580793321303282118411764530722263908582773573656410941766081029094937197320202317280308472641596190877761018167293980235518240359635682,37426208344756790957109320197014812521454320350861356128329589025690304290630480424779579200768306711539439273847666598465317773963503432623544828663778237557497950077970681849840800126631105,1400721071065142854403829903908129441486147214588561942319241807573421702428079126227803709170233487306062908675542950366313596402867502182709459193986457695176237373267874654408097262265817254081234472096506955816019217162812683612961501896604080130398360052834493519256919068321240377060467516310845664666274592199330212922582576025525444481455517928734345890345454825325185083844,52423678638574919505055177468780779037417993975162767051792542960828548531722261261449641317866894952060707830369584865939091637565061750412430986341640694559656258354474538422826514464805741237042999463093907317165152335030957963509695589144352808326815066190338391040766093761103264002350910458536817399253931131661523915703510164253659056145020079199086998154819824506967904291323864804451771975887796633696182260336222335889308568344559332386164278746824066723573807373365658166597724998128280161332969161469443840003729252778148011279778293711819681746022215348714101,36153019871544701988942253964192999918699270622833924454586902714803017875153882277272018008507758183819569526842947004569012869242327401065093260181169554459192759848270999461743879835362617,191,11,110,10,1,1,1,1,v_p(K)=1; K is not squarefull
16,289680491092848412122431548365089567899785412079353253462469455414254359007880418986657476948777306659127056260171005646312952982504693920886893474983414728450988079655311297363548304329484437177869392682,129549053967826278552244566728558967643750692807734232398829037720817842844182041451409461269289273056281943939062076025778222543444693414488063248802556916711856791877487852154125836585290420529953419825,16782957383958765646602694744447136056032872640232906040422481060498692281612972084177756516225694525455480383159420453837740673976106892762324711770531954481872196433638689978797884591528774715696106368162172578389414118097576297972609236813112927233622903405669342297786685732359347268358597808547088174991610126360910550748699002627735833434935559390724023468451966679449464140174985667161508826146301844,2174216251874202668584037861545130885979522091229447438037424135137294759771837601518098632536175894734578470858206142721339856984819195374115383060979809893796001259302706847723264680142034664906488587198808620943908509837753956981327227957212559952584120436152142332747258264440904153127069048454557642024325189628125050787176946796148731650745748630756497566634944403329746069729085256317864236737754514384587420148105796841062610632720554390105664884073691089501001426482331396373910203616560319341003118643551891629466826232070185764903670388934154479575542291573084993013434527368741412537519007401149165,125141972152110514036890428893718693332707298018280605495786804738957883091404341002236030041871796476742888304393874439207195688442027773823137981192835162690826850411094480461052867470337276860839577641,204,11,33,3,1,1,1,1,v_p(K)=1; K is not squarefull
17,1002715349316738485841717536012825958128879637527503906547148402649848199527848930566804477653231676844045471611597251584360594302944531785518447562282795131972879727845834296936297019698641391576314338112478930205682,448427936630934911658792745336209956720708140097244367225454295541140149383582141201253013660947126677004030654098367065310921420867818609699105336560415439926251309426796967630305144039860831341396844162708898808545,201087614351077776769068396835669119636135428993820331905304008100138414235039828228233939818081098211188960249487583518226837980355141603149380128654162882765404862498942635038207187476068650669495719248640684775645941134773200890603548362746179058766200088645372692198134419586707326202524466621546820689677406218763253235575687257877096789611344533046655867988777964213273674748123089147049906847610685839323792655071495281263844,90173303985490983008296731187173651392032967723030157870244423289014150892249969848135780950983074329073049187674090190717836703568722620248919259159781621403562820715825946999155969310804911864938559019336395029998333984966064687191081518555971674747210470832210886321061125847200003766402716478486083810276890380616138690747011317843753255195469846301988256958197774957468760845430355219605544212761612473292386617754414501173202127237818467268645920861027509265308791065248198630286830495538523857271862327258522936040994422485972775862208288791396563378835893601876105874305140239823670670824456945870894938006086327505755195539369709036664229,433173030904831025883621975557540813911676003411881687628368109944734422196030738004859534346196084396627643736210012684443776738872037731343969346906167497012284042429400416276480312509813081160967794064590897848857,216,7,28,4,1,1,1,1,v_p(K)=1; K is not squarefull
18,3470851861519130743917114595865629879004114376698309968734083530772713908481463188839862674366526639161257252485858734027683963410588613234828326800882590490086899817168709694273814333563686497384960731184949911993081756446074682,1552212140437692565499821826508316476432847530956938595715958785360299550462189753229459180719707453420927753778839608158470348797516943304143334061321689852158984250745666934111741728812089471376120080406193335065330832488557265,2409362528922163027704711995780181111186821587698191598298134432582737288836448460093048656970137265687678938990250793307828993345403979986414862662833817959926447647015676758569362708261369461142618944642622473795448612470417853430474048643871911798482912097180263559575480832146991226480970194652946222106423858880613859357524810392248623375130280007259665224215345218757712910915957660370908660924383081400307386159064512690244713245373834575268919569844,3739841768108642633165490495924439355730277272058545601532108236834521483343171852255085136663368234954104827529808259058532224406773340968957893730975750186647860845193365320799617218391702946634637463870815828617619852832711912567369760582971414170032281051277579609680703237237013568610688207212707432570975111272099539653969275948175186332712636624366570147704551144051086641260027123404229598882959523200810784175135793015783727841065330854205105933186696817377820292620648985328147109194351061652086404589890846922905691904250641401844177461327801163101760872955023965307771754856342912532769263906854293051882655065413623580726871941104980301600591902897202808382538727800987293,1499408004176264481372193505413952107729777410733669906493124085293812408463992097578820675326339508117663133073890973099959472193374280917445837177981279091717540721016882587926287792099512566870303035871898361981011318784704265,229,89,1157,13,1,1,1,1,v_p(K)=1; K is not squarefull
19,12014189922214363962974062495889354647820737370816007026056424133957595607851454651626937193049883453831339167901385556464746678306734968544092068068732053439295375198685928297820121592293491056037687416627628263028784045933485359620568999682,5372909072132845704170957121569963915419250883626882388076539464480969990994837792791567387789920360361697792936725167202187900042190733426931710296730873330364854577770346310999890800584295661702763025104811900552755318839780671759128425985,28868151897407436962250375495929209462104244732778206390955781709453267731753845172938028982230372259060215947851752124238794390177078307230941014319968730945347333240790877081743963807420694494458753071721429366984225791784222172521837901051319558062085671035086141322846386748449294898711004120800137625543731168893329378204755987705579142460711622802806493689142306506885381301360926174468875928622086268676838783045155955241677541028408735120478592203816789110421440008306019844,155105955225289441301668406928995588819168530888345006050089455643095834562303779448433563168787834272461174411065304157068317873459239491649878987086613834701916322667820150645553893439025988820137248574507308968959729049321324453648096684122937825166370417038483324144787275780272663270358483264681018147032433935448774266848305695869643625252893641366844168463757374413316517987823134447187342161079704755731303860711685404025627956894738466463654310292512404975179350299178873637310294314503400289517163209151624342147672902503512689795511940304052289871907584534503329805137431111057613186386817715614752601567636255290147813634534010835367392787033417176699539855104263695141669021847812897325310687212418062855846357,5190130046396605232004794998224201207858558544192515035256375225869681302591828409502836867397549652055138520533398560392770565028509506411047773405692247085775602085832321024658292527870788136208280963983135409628434707843265675356085807865,241,11,44,4,1,1,1,1,v_p(K)=1; K is not squarefull
20,41586551442118240097415001914637781708867977245022650380802491494864223619683831007890895651911502558260138248177622813324703552489197449676618603080164476924579263301456754284383001934241558850519431170409711552587904992187390262427463356144494698980682,18598071194873659129877560979702150440037214896395765259944060580179091959883182215386097408472677418056197332269772572214702839751315029652708454427366660613333895146061488004808701833013627294837481614189302361440889898215919212809105885771084184174705,345888252169589335030265223482372382561533149444127110493666702730095125368466295328696615870218653490402132774717202970579384088727066814205589648673254289265411787291757286500098273104263042311971104228205517645280843384181448818187962298779767111588863119059842071038472866883850082843991661319819622280442632879363789422726592387153574545631592875346225507144756031537672792039505361749860783160140551858089351051713847641623506937677205273011190610935347446432262000911700820161099318247754155600613844,6432854339320435844061344583199122158027096247583937599160163184293855746393211672599536839651612993856071961881424176081218435121497580517248224181357676861443002667519166190310154753092583571793916881922211180094695731115722067439712556920783105297772276394460571117189957213207443631355182121050223888551071397646732485409933503587849316736304895949779048946358338645266263895960178219730600376487729103282437201041293566754224667167710446290908974806272945300025792565572814968022592749914526194209464705258913485587228271098708534267400023390150125118841583201814067541112136286666336870592363758311766495610648864464974824116941288460776363751619041324798725861954256931173152151469242315741866775604177385156292308598662883813092343094626122172434969421,17965390222995079722083280827123521698230966169849784964506676325781344603703414995408866921625769105168379723212733055356271934675333298260299236530631054031418241746229317850853456835592353423424394265616995390717974956624952593368664169854421709959657,254,11,88,8,1,1,1,1,v_p(K)=1; K is not squarefull
21,143949885264439804756099576384753233588517410925418997249366450958318118594077223305276644616364235037637910511801960596560556341818789407568992085729547708223627880035179922402793046805943442551367922580956869133025206787462019268427511682184274222754725815484017682,64376345760916538742739262094731922633418953257551503598171094529452031501705834538804169562180053439987966720856037888358145106989399900038306372254353734143728919984428478854322191073874806935300360891782807681503316166158184424463760421941945966506792194061563425,4144313893529076807610876895542390319182270802530885552596549374617691610695610326912257432666346375091371937891330058426043184884638831500845041102945771879948102791541694379950901175740969995226108527767919160427683654120203345897101102248699440362666089755390520543453172263677069954138001981153834076185302437848409235257199797266734647063363280562333771527719245341744697518185766730618493364770863909376375674158283337123126696352617273742749533825815509913566536474938140174700405174031111755413844246649529761269933878551844,266795784151598099425846806732058286569259722832567904529930866227050899721187900976506375352298881759443080225584798816792486791950335309449849765955912480100093996033661805496666611399620562598594523811959005814788998200697577945750540190485518786857800939970407980013159454483362241465902916160627180598567636028696531868551639358726411245969707557098163851774837367250299468586436036876830369234725238747413807443853098149868450286092004145147761909550809296622488510591151810932171219969493756413280119326627499707518181491792642909550705537393760677992464599487038856901103851554813656790643550114926719393791152421487946446461141393439845741865378778067763236169631420116582159471588265056117319783810097270070576979070304031982635224533021150248803297650772428331380078128242582585300084485,62186350434237995654635016998213396910239521519781006811726306813993427232641360467879510474269349536259577341098446977714160339665717024069804581035164609952607244175197726478006596220167567182190942554973367465466889332183592323960685046703606464230041552289095641,266,7,42,6,1,1,1,1,v_p(K)=1; K is not squarefull
22,498275734560160884490501471827575325826582917656856586789432907017186030444011872213589542306518997727205451607509237556390938552485729357051168362989905138174650836092704856781963534174850644945476782361080563591001690788075945793911887507381422417770469290259396191616820110682,222835682803032202376217422869072059257217124361478257538876101793386618936177761873269909183101925037378551612900251973175985909839302730663921484901362884706575000430740304878770414853189984227313053337443751483419894182541434491271902334729242983673880874034007455640286352145,49655741530293581613793578063822353239624518812578931717154820591032419041868035142944651956739472985529090283124493273967853064348049839897916659940970906169031461089019383942774480168776042122814828512244674270612009285999753678503066784123794968486531783539765249910868571880492851371403484606325225281144491446546835361823909333202079056987227814027455188990645868584884711729915324785983309000598565253381242564422555975905049510754908504905657631681681502803228841589238919931638711621383842173960561675400090553615504197939356633648370123091130233844,11065071068993853400828212234043267900611180403730437177498112924261380181277364121822369983617715151142140388463291371057944348319681136713029551667101523905832501735866373638122815938525744007664406035672236607665411195636486337127000920062955723689187056849927601289320417602271406034034637999598245463079064636581945758620219517991873818252239173595716747293140175830001329098887162614986073787339878341754366385474293109805248680192935672956137916425955469598921744052325316411886573113291715723851846697433854014917224825570763137588501678759679302699481050055427421798182511649612609565596794721196316937677240543270947644790839139626582594255809822383364439937927526184957410015373484632692924810796131885957760208538568279969580924621505640261072982607158347526504405604009069124194068152348035167936434282967125781968196919549,215255117329989502099896635829512540757083820427762045493035015831424365151813128796270682276416207018152755094443990624360885454673835082246104732811639019691449161192048498129808246763535478616445969979986803471312730420448808582969935403188774484476842733392059154778466287817,279,11,55,5,1,1,1,1,v_p(K)=1; K is not squarefull
