family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,source_count,sink_count,residual_numerator,residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,conductor,coarse_ratio_floor,assignment,assigned_packet_products,optimal_capped_reward_product,source_capacity_product
unit_prime_square,p=173,1,29928,29929,173^2,173:173,2;3;29;43,1,4,1,1,1,1,1,1,1294386,0,2->173;3->173;29->173;43->173,173:7482,173,173
unit_prime_square,p=179,1,32040,32041,179^2,179:179,2;3;5;89,1,4,1,1,1,1,1,1,477930,0,2->179;3->179;5->179;89->179,179:2670,179,179
unit_prime_square,p=181,1,32760,32761,181^2,181:181,2;3;5;7;13,1,5,1,1,1,1,1,1,494130,0,2->181;3->181;5->181;7->181;13->181,181:2730,181,181
unit_prime_square,p=191,1,36480,36481,191^2,191:191,2;3;5;19,1,4,1,1,1,1,1,1,108870,0,2->191;3->191;5->191;19->191,191:570,191,191
unit_prime_square,p=193,1,37248,37249,193^2,193:193,2;3;97,1,3,1,1,1,1,1,1,112326,0,2->193;3->193;97->193,193:582,193,193
unit_prime_square,p=197,1,38808,38809,197^2,197:197,2;3;7;11,1,4,1,1,1,1,1,1,91014,0,2->197;3->197;7->197;11->197,197:462,197,197
unit_prime_square,p=199,1,39600,39601,199^2,199:199,2;3;5;11,1,4,1,1,1,1,1,1,65670,0,2->199;3->199;5->199;11->199,199:330,199,199
unit_prime_square,p=211,1,44520,44521,211^2,211:211,2;3;5;7;53,1,5,1,1,1,1,1,1,2348430,0,2->211;3->211;5->211;7->211;53->211,211:11130,211,211
unit_prime_square,p=223,1,49728,49729,223^2,223:223,2;3;7;37,1,4,1,1,1,1,1,1,346542,0,2->223;3->223;7->223;37->223,223:1554,223,223
unit_prime_square,p=227,1,51528,51529,227^2,227:227,2;3;19;113,1,4,1,1,1,1,1,1,2924214,0,2->227;3->227;19->227;113->227,227:12882,227,227
unit_prime_square,p=229,1,52440,52441,229^2,229:229,2;3;5;19;23,1,5,1,1,1,1,1,1,3002190,0,2->229;3->229;5->229;19->229;23->229,229:13110,229,229
