q,legendre_2,canonical_index,u_mod_q3,u_over_q2_mod_q,status
13,-1,14,507,3,valuation_exactly_2
31,1,30,1922,2,valuation_exactly_2
1546463,1,1546462,1164272437426319532,486828,valuation_exactly_2
