q,legendre_2,canonical_index,rank,rank_is_prime,channel,u_mod_q3,u_over_q2_mod_q,status
13,-1,14,7,true,B,507,3,valuation_exactly_2
31,1,30,15,false,A,1922,2,valuation_exactly_2
